sample,log2FC,pvalue,FDR
OR7A5,-1.5138718706570702,4.387967427662491e-25,2.2925996293266456e-24
GRIK1,-1.2400445422661006,4.940780779311371e-25,2.5740421444134195e-24
PNLIPRP2,1.9359983914694348,5.576095834164827e-25,2.8942592663046006e-24
INSM1,1.3212391424737282,9.170434402404015e-25,4.69694477847384e-24
RPE65,-2.5218162453063613,1.0607076209534407e-24,5.40539216803345e-24
VIP,-1.1818770821969644,1.2227212869776221e-24,6.211888246400685e-24
MATN4,-1.6107230782258317,1.3187764793523802e-24,6.683098066161296e-24
KCNA2,-1.4114358537309104,1.7013513792632578e-24,8.583619500202074e-24
NCRNA00052,2.585793270539574,1.7637767907054416e-24,8.891173891224357e-24
FAM181A,-2.0954733142926165,1.919924295451429e-24,9.65424915748684e-24
CNTN6,-1.0985529489509145,1.943048306629303e-24,9.76513206117427e-24
C6orf15,-1.1332118078486701,2.3024202775621955e-24,1.1498204749647365e-23
KRT83,-1.4979389865348167,2.4373902486305177e-24,1.2135616711110863e-23
UNC13C,-1.0901977377866925,2.7650152869972204e-24,1.3729288944138136e-23
OR2L13,-1.2490800819001056,2.8369114316841734e-24,1.4070926101075478e-23
CGA,2.2176370680651805,2.8576486936357632e-24,1.416220505588124e-23
RTBDN,2.0833120438134474,3.221531087846094e-24,1.591357676853798e-23
OR7C1,-1.558795429357931,4.156744023850389e-24,2.0433489458857314e-23
LEMD1,-1.5301477711143372,4.668681419422005e-24,2.2879890573653008e-23
PLCZ1,-2.7345387037178615,5.524035452797772e-24,2.693712364019521e-23
MAP3K15,-1.3641610782697677,5.953776172878257e-24,2.8985447358893533e-23
MSLNL,2.786308317288146,6.158531365733353e-24,2.993424471306922e-23
LCN6,-1.3301346216530774,6.57681080670638e-24,3.193323209241831e-23
LOC285796,-1.7164880395459257,6.615050065267538e-24,3.2084667289652276e-23
DPYS,-1.3836798965074677,7.020027845817849e-24,3.398552310569742e-23
TNNI3,1.6608800089504459,7.586473972156766e-24,3.665956615746472e-23
RHCG,-1.10314583194469,8.957781970319136e-24,4.310296198935216e-23
