sample,log2FC,pvalue,FDR
TMC1,-1.0404184505700722,5.683682622021632e-13,1.461094121856514e-12
POM121L2,-1.3451242717298366,6.24069067343916e-13,1.600891943751593e-12
HPR,-1.4993563746553247,6.283648084465335e-13,1.6112303997960626e-12
WDR38,1.2762416955275868,6.616072311781457e-13,1.693368451790746e-12
SCEL,-1.4913142826054933,6.921236139714905e-13,1.7694840091464948e-12
LALBA,-4.090154107061296,6.999488119512093e-13,1.7889873945447715e-12
VGF,1.0801236592072319,8.238449249082086e-13,2.0947687062584328e-12
HMX2,2.256009414908093,8.370670239342892e-13,2.1280909269100374e-12
USH1C,-1.2298128054296105,8.453954719352653e-13,2.148664308243177e-12
FLJ34503,-1.1163350626834125,8.540396448947925e-13,2.1703313773586357e-12
CTXN3,-1.4954006257806673,9.028752833091154e-13,2.291875440256007e-12
NGB,1.6313494331187028,1.0472963538082762e-12,2.6488725202684526e-12
NPW,1.0074073832059123,1.1782671687643936e-12,2.971048243942133e-12
GBX2,1.453622398785638,1.2117316767572952e-12,3.052048112911726e-12
NPHS1,1.35314230986276,1.3140972922494625e-12,3.302113888848284e-12
POTED,1.6962714012285822,1.3437012138211338e-12,3.3732441311799886e-12
SALL3,1.5691236594187552,1.351876988795898e-12,3.3928328728873196e-12
FOXN4,1.2474580141499543,1.434143476937056e-12,3.5918703509473354e-12
ANKRD33,-1.4839052986943864,1.4509453965248644e-12,3.632452077147862e-12
RBM46,-1.6142981171326571,1.4856292096266742e-12,3.7136649962694795e-12
MC5R,1.5956541354166833,1.5139890634479035e-12,3.783517699333084e-12
CRYBA2,2.3949081888912476,1.6597771241918066e-12,4.139890790855502e-12
MOGAT1,-2.1414241646640213,1.7841612905305122e-12,4.4404003242448606e-12
HIST1H3B,1.7013113334036385,1.81235306115438e-12,4.506866498933495e-12
C12orf54,-1.0878602275284126,1.9352444518903265e-12,4.80066159140905e-12
OR52N2,-1.712910296585805,1.9695568821144045e-12,4.883782035843687e-12
AGXT,-1.3059163762524097,2.37779662362373e-12,5.871274001603738e-12
HSD3B2,-1.6342515854034527,2.5002211072425263e-12,6.166037774710162e-12
BTN1A1,-1.6637552019110733,2.594197091759044e-12,6.3926045297536045e-12
GABRG1,-1.1059334746086762,2.7629856516014e-12,6.796571326500038e-12
KRT79,-1.1183706491551246,3.332498755010362e-12,8.151232845666974e-12
MAS1L,-1.1109028511551955,3.605200357378113e-12,8.805241125097783e-12
ADCY8,-1.3384814339146076,3.796684399961182e-12,9.261732261122138e-12
AADACL2,-2.1585275912754307,4.056730124915149e-12,9.885496447634598e-12
CXorf59,1.483892704755207,4.478922169495149e-12,1.0888063601939129e-11
CCL24,-2.0730442471076787,4.5003390549801645e-12,1.0938666286260374e-11
FAM25A,1.6078508862122245,4.797129361663253e-12,1.164450537009684e-11
ARID3C,-1.1594974825674036,4.8849259089340695e-12,1.1852880074690331e-11
TM4SF4,-1.001987426003665,4.924515859726645e-12,1.1945757222095432e-11
SCTR,-1.460113530375714,5.228453975529451e-12,1.266616285820636e-11
OR7E37P,-1.9308118336514104,5.2378417749489556e-12,1.2685528715991997e-11
KCNH6,1.7724136963052604,5.676293025204531e-12,1.3725499726062444e-11
GOLGA8G,-1.646806170011746,5.775372721164811e-12,1.3955809059254355e-11
LRRTM1,-1.361137930722922,5.7812773082574006e-12,1.3968222835440597e-11
POU3F3,-1.7341168296710923,5.841767600227972e-12,1.4106884535281211e-11
ARHGAP36,-1.031802790279138,7.0238960727407675e-12,1.6876449341618293e-11
HTR4,-1.4836723594193537,7.0468168836646106e-12,1.6929287017730883e-11
TMEM211,-2.1981514589503988,9.106690370689898e-12,2.177447587254278e-11
FIGLA,-1.874947520666897,9.224586847262752e-12,2.204478854939266e-11
DSCR8,2.9875841640243377,9.330395075861443e-12,2.2283020410116223e-11
PTTG3P,1.034483458080166,1.1534151230060897e-11,2.73951141493735e-11
XKR4,-1.1861767517649364,1.230591553820282e-11,2.918626456572064e-11
SYT5,1.1309313852836165,1.2516836793067871e-11,2.9678778187340686e-11
C6orf191,1.4408854210892694,1.3269321240412048e-11,3.140981203370878e-11
CRISP2,-1.58517928522217,1.3388830806584764e-11,3.1688582391400655e-11
AQP2,-1.3175189226213049,1.44311066622211e-11,3.409779784169401e-11
PIRT,-1.4260084790387013,1.5821094930685142e-11,3.7251505759055966e-11
KRT39,-1.194124867101201,1.5920827304774594e-11,3.7481482078221926e-11
HOXB1,1.3959965873598787,1.7266086464472724e-11,4.053844600964749e-11
HTR1E,1.6725345918725811,2.0502260343585116e-11,4.7951001546226374e-11
LOC146336,2.6583413270384755,2.0994251261344873e-11,4.907015353239095e-11
GAL3ST3,-1.408688704248879,2.2385643545491456e-11,5.2248476658364016e-11
FBXO40,-1.537956480121716,2.8880205176563072e-11,6.696896494636657e-11
C6orf222,1.4992064207672677,3.593763478834598e-11,8.298525511255384e-11
SPANXB2,2.574590108149103,3.67260709894232e-11,8.470915740249246e-11
C1orf158,1.678008209864418,3.770554660772325e-11,8.692427367026168e-11
FLJ41941,-1.4671012528517984,3.923898709790468e-11,9.041358001812137e-11
NMU,1.3089017516483086,4.3875864505637625e-11,1.0081701105732413e-10
PRB3,1.102408134581981,4.8487428236337256e-11,1.1125887510223712e-10
HIST1H3F,1.5665398915972846,5.000815446438381e-11,1.1466159915797687e-10
FAM138F,-1.2536739510746486,6.132853741880127e-11,1.399828672895849e-10
FLJ43390,-1.409574806973307,6.300225282417766e-11,1.4369502670824532e-10
NTS,-1.0384036523987774,6.419250307711421e-11,1.4633639743427803e-10
SEC14L4,-1.1019980355621533,7.011538348104566e-11,1.5945906115760547e-10
FAM47C,-1.826050293656136,7.495631073752098e-11,1.7017083117424473e-10
CAMKV,-1.4375476320771974,7.844921165061355e-11,1.779009592221401e-10
ENAM,-1.0388487608749246,8.096909981767306e-11,1.8350106125262734e-10
CST9L,1.3582111374326553,9.288491014246219e-11,2.0977469222372696e-10
RLBP1,-2.3104742661042676,1.6846467694117015e-10,3.745648606766972e-10
PROK2,-1.3275803683095169,1.9060583351804062e-10,4.2250340812577854e-10
CDH10,-1.3788376065247518,1.9140921615690148e-10,4.2423255347669277e-10
CYP2C18,-1.5043390360066706,2.351882684023345e-10,5.179833091019594e-10
SERPIND1,-1.0618515214300976,2.4848924078201305e-10,5.466162718978832e-10
NLRP13,-1.3079667437783105,2.581944616926234e-10,5.674853641862864e-10
REG4,1.0893653053940828,2.5877215051670586e-10,5.686177517932879e-10
ZDHHC22,1.1916914022314276,3.0821942304622123e-10,6.741790624501761e-10
HIST1H2AL,1.1116819107472673,3.136186772505116e-10,6.856594741762025e-10
NKX1-2,-2.609944083956926,3.398805253919237e-10,7.411170584222792e-10
FOXE1,-1.0796659219967206,3.433159542945319e-10,7.482495589108434e-10
WIT1,1.1694885590674349,3.629249752943082e-10,7.902300628328101e-10
HIST1H3C,1.1887417358181283,3.650867256796412e-10,7.947469107326607e-10
GDA,-1.2198119507545426,3.78137191061631e-10,8.225658806040713e-10
WFDC12,-1.827649621310221,4.429338536662036e-10,9.59619726051643e-10
LOC91149,-1.3806351846515572,4.506082546965606e-10,9.757818296742199e-10
TEKT1,1.2746541998793468,4.5149923086586183e-10,9.773624092580905e-10
ARSF,-1.3132170156849376,4.605132209747698e-10,9.96637993271161e-10
AKAP14,1.8293359758665868,4.708852421090811e-10,1.0187216617674833e-09
UNC5D,-1.3118616235021943,4.98319210909113e-10,1.07653745504137e-09
GPR123,-1.5098338093439585,4.98437386629611e-10,1.076664975533263e-09
C20orf200,-1.288015528419346,5.271249097891801e-10,1.136474562701936e-09
HBG1,-1.6586864321233747,5.306642048947986e-10,1.1434280920572937e-09
FGF5,1.2234646519906192,5.324400417029509e-10,1.146982967943055e-09
PPBP,-1.8321372698802507,6.065315222450364e-10,1.3004350176002825e-09
STH,1.0266547744742398,7.68626623058671e-10,1.6389024738827445e-09
ZP2,-2.4098553249708172,8.299162800960208e-10,1.7675167949675754e-09
C8orf56,-1.0456389063296438,8.462406415112188e-10,1.8014405797484172e-09
ARG1,-1.073128784168968,1.0414881586316406e-09,2.20649545525742e-09
PNLIPRP3,-2.170088914734049,1.053094461635333e-09,2.2297869588400563e-09
TMPRSS7,1.0575495420281058,1.0967686870566352e-09,2.320911463670301e-09
SLED1,-1.2516705714744079,1.1698254115621987e-09,2.4717738788934072e-09
CA10,-1.3630190420687789,1.207710807461277e-09,2.5506392653692573e-09
PSORS1C3,-1.5813674309655534,1.3733462934679804e-09,2.8907287904715134e-09
C3orf74,-1.1664902203117342,1.4364873569935642e-09,3.0187461740191468e-09
CYP3A7,-1.1611436057172044,1.5086763309244984e-09,3.165698588105896e-09
NELL1,1.2258260408753172,1.5128705032786242e-09,3.1737676352634316e-09
CNTNAP4,-1.052418665252042,1.6108939545840747e-09,3.3755154432248086e-09
C11orf34,-1.1935334329454346,2.1293256322263073e-09,4.428209126404144e-09
CTXN2,1.2132990645601556,2.5222374928885428e-09,5.223241078845296e-09
CALY,1.2508843984580669,2.73846004951365e-09,5.663923222508462e-09
GHRH,1.1778721956515303,2.760620213869699e-09,5.708459587989336e-09
MYH2,-1.084516396323396,2.882411492449979e-09,5.954214298350768e-09
ADRB3,-1.0976921291561725,3.012999162038472e-09,6.215505864300352e-09
CCKAR,1.0415907170111327,3.4877091471599745e-09,7.165549616902146e-09
WFDC13,1.388498297869576,3.748313175257432e-09,7.688815047240368e-09
MGC4473,1.2788777925238666,3.860552827114199e-09,7.915188419082285e-09
TACR3,1.466579518876713,3.900909993592558e-09,7.994646629774005e-09
CYP1A1,-1.2969524476999332,4.1253407420449585e-09,8.442223443220278e-09
LCT,-1.0822908920646168,4.432123390131379e-09,9.054763419816104e-09
GSTA2,-1.0721251839439985,6.4485892795793105e-09,1.3035388190581032e-08
AWAT1,1.9030137725563907,7.258303329045574e-09,1.4633170395239404e-08
PRSS33,-1.9457899385442128,8.039279563797827e-09,1.6161127101028365e-08
LCNL1,-1.1944361199132398,8.67178462997077e-09,1.7396131322389013e-08
IFNB1,1.6202376577508006,9.044891216536476e-09,1.8118648048268237e-08
MIA2,-1.3630934616946977,9.09727349001185e-09,1.8219569736900177e-08
SULT1E1,-1.442460822591995,9.584728499601895e-09,1.916629823994873e-08
S100A12,-1.0775903549470678,1.0109960192479457e-08,2.019218843358608e-08
GATA4,1.3642112552459051,1.1136691012193688e-08,2.2186843219323818e-08
RFX4,-1.3386780104764697,1.176418319202678e-08,2.3406211241060606e-08
PCDH15,-1.5063062025466452,1.1779682262488385e-08,2.3434487019024707e-08
SHOX,-1.3439713491002927,1.4632673923842923e-08,2.8948871148322217e-08
C9orf4,-1.2021027652389964,1.4849756937496111e-08,2.937182385640367e-08
SLC1A6,-1.1269068345237212,1.777766082840896e-08,3.4992080456263865e-08
EFNA2,2.1345262059347125,2.210141967717679e-08,4.3240771967288167e-08
C1orf189,1.2207205073939689,2.8403115813975336e-08,5.51666578277628e-08
IL13,-1.4346767942982734,2.9010825789685248e-08,5.630494315488224e-08
RPRML,-1.6417772648340745,2.9194061690900667e-08,5.663641745278321e-08
FMO9P,1.5333172117393885,2.9719000790475455e-08,5.762409154122547e-08
ANKS4B,-1.6978998513223436,3.179420865885191e-08,6.150371734506709e-08
C4orf40,-2.3863399431688923,3.484308922716599e-08,6.717313632727204e-08
SLC4A1,-1.3731928064122187,3.5291810988230324e-08,6.800940455417707e-08
ZDHHC19,-1.1770578532544853,3.740404413618735e-08,7.192751060754472e-08
UGT2B28,-1.0794426402649961,3.7694712788828776e-08,7.247880605208093e-08
OR6B2,1.1553343884512286,3.953308380825689e-08,7.591107028666667e-08
AOX2P,1.0900611408656076,4.5329346860763477e-08,8.67006515610463e-08
LMAN1L,-1.202618610909809,4.625292165603391e-08,8.83835747328139e-08
ALAS2,-1.4849097252048196,4.814856699671699e-08,9.190943425348568e-08
FAM123C,1.816498448773777,5.5900998007948304e-08,1.0627319757061964e-07
TLX1NB,1.959356722958777,5.630549133522749e-08,1.0703100028980223e-07
HIST2H2AB,1.1030004702703897,5.806835049276754e-08,1.1027837078975979e-07
DCAF12L1,-1.1547482821302113,6.175592544549626e-08,1.1701291879716544e-07
LST-3TM12,-2.4981496857400947,6.379311034928923e-08,1.2070956212974133e-07
LHFPL3,-1.0168251719837706,6.387742342369053e-08,1.2085653659509808e-07
FABP6,1.316129032078523,6.877186036959693e-08,1.2980652989504074e-07
COX6A2,1.5254921625107036,8.232050708756282e-08,1.5468981010786683e-07
TMEM212,1.1077846363432113,9.591811400617482e-08,1.7964784743846078e-07
VIL1,1.28069726452354,1.0117776414031033e-07,1.8924566796609834e-07
C8orf75,1.0583643449205145,1.0224641909311617e-07,1.9112667557527148e-07
MGAT4C,-1.2768526539921554,1.0617970070673738e-07,1.9825511252074475e-07
MAFA,1.6215714733409095,1.3451770450010982e-07,2.497068911906485e-07
ENPP7,1.0571302841341994,1.346584833719823e-07,2.499172484523036e-07
TREML3,1.0326340618837397,1.4161710680513476e-07,2.6248408463230506e-07
HRNBP3,-1.080040079364079,1.5862519264711495e-07,2.932914557395057e-07
C6orf58,-1.702031023606335,1.6525195122933016e-07,3.052340201144086e-07
KC6,-1.502955716113785,1.6751096222722447e-07,3.091869849343102e-07
SPRR2F,-2.058397744853524,1.7537825757105432e-07,3.232820681079394e-07
DGAT2L6,1.1695331034756302,1.7925168441924133e-07,3.301546505598958e-07
RBP3,-1.0059339284769973,1.808361455776971e-07,3.329045669448645e-07
DDC,-1.234081677113546,1.8186560964273774e-07,3.347320214688327e-07
POU6F2,-1.6436209688574812,2.026899843812386e-07,3.717072119375061e-07
ABRA,-1.152066508717417,2.181489531179513e-07,3.993729652626036e-07
MOG,-1.776428731665332,2.3746841622274194e-07,4.336514426667909e-07
SPDYC,1.4266596978796875,2.450892593402504e-07,4.4698525075348936e-07
INGX,-1.002098007854086,2.4813248634253976e-07,4.5226350744900885e-07
TBX20,1.1826562879752514,3.682168968409177e-07,6.64681889448158e-07
KRT77,-1.1520923166104238,3.8317721130298486e-07,6.906599442863882e-07
GDNF,1.130378793856004,3.8383310097766945e-07,6.917051714777267e-07
CRISP1,1.4611276854897708,4.022809059595196e-07,7.244478958430089e-07
C17orf77,-1.3739757841863647,4.1371849417906194e-07,7.441618329586428e-07
GNGT1,1.740428178926123,4.177173289374575e-07,7.512061389694268e-07
SERPINB4,-1.6525985963665715,6.499411878674729e-07,1.152882424746795e-06
KRTAP3-1,1.0585896254786806,6.871479711381256e-07,1.2172201750318508e-06
PAX7,1.3154213562915336,8.179310151905228e-07,1.4417350895238776e-06
HESRG,-1.2068762875199128,8.892965464551105e-07,1.5640449309296982e-06
CNGA2,1.3865556292696986,9.073324652425487e-07,1.5953030874925252e-06
IQCF1,1.0603995376304862,9.309594457884354e-07,1.6351075638447403e-06
TRY6,1.4807511548975665,1.0247216998643168e-06,1.7937310416992171e-06
MAGEB1,-1.6043103505156122,1.0998147215170786e-06,1.921130364395168e-06
FLJ39609,1.1351299159547241,1.105036019289682e-06,1.9296786894790946e-06
C7orf52,1.6725744663980626,1.1513544532341059e-06,2.007673638492234e-06
KCNV1,-1.3301967003807862,1.3394485656553182e-06,2.3263030474786526e-06
HIST1H4A,1.2010168044773115,1.3461693426589002e-06,2.3375293851397463e-06
DVWA,1.260102317214581,1.6425714177497727e-06,2.83517234186413e-06
SLC30A10,-1.375389048775101,1.866152787404749e-06,3.2055845228959748e-06
ZNF560,-1.3261315139514442,2.1091223102050172e-06,3.6098883318872463e-06
CFHR1,-1.1328277312535138,2.2081062413281907e-06,3.7751627604862455e-06
KLK9,-1.6340211372610893,2.3613362933462933e-06,4.027680336186524e-06
OTP,1.3886166345884925,2.380385426463315e-06,4.059030999335993e-06
ASB5,-1.3314365626235811,2.958878425570241e-06,5.013073713761643e-06
NDST4,1.4166262681794717,3.5032418095511424e-06,5.912248345935421e-06
TTC9B,1.4183732983925488,4.079330384787142e-06,6.851670696300859e-06
BASE,2.2742816217792905,4.51354809289794e-06,7.560514947549573e-06
HBG2,-1.366973644827457,4.791832578772518e-06,8.008973320300812e-06
HAO1,-2.5069868894783207,5.044756455518609e-06,8.420108358683773e-06
SSTR5,1.1738048241824615,5.145525690509593e-06,8.582791546260984e-06
HIST1H2BI,1.230295992074258,5.436273425310732e-06,9.055315259968087e-06
ART1,1.2092074728160247,5.563721781549685e-06,9.26167604842697e-06
C6orf118,1.1218993096789753,5.653314299851785e-06,9.407375463954845e-06
WFDC5,-1.0501221336455067,5.97863952524587e-06,9.927857624343238e-06
TDRG1,1.1513714720461996,6.136269204808752e-06,1.0178468045847794e-05
CD5L,-1.2494980214149423,6.2905415917714665e-06,1.0427714105729532e-05
UGT1A7,-1.5873229742330424,6.589932379686901e-06,1.0910099054792239e-05
HOXC12,1.0208425496566584,6.873264370481473e-06,1.1367802229318031e-05
NKX2-2,1.186487106384309,7.176191601335849e-06,1.1852664524010203e-05
ABCG8,-1.1635497023463244,7.417181612598936e-06,1.223959359025822e-05
LRRTM3,-1.044086866474726,8.22027224069697e-06,1.3519480990007855e-05
SOX3,1.3345615478066555,8.511502422228682e-06,1.3989605290458575e-05
TLX1,1.0250564526013344,8.710583381247339e-06,1.4305192104731622e-05
CXorf61,-2.553467972817744,9.760498038456006e-06,1.5971803829019657e-05
BTNL3,-1.139024746055575,1.1024707524759827e-05,1.7987160623214405e-05
PGPEP1L,-1.1845589743192295,1.1491688431482033e-05,1.8713831143162234e-05
PRKAG3,-1.2781256153397484,1.3490703851529983e-05,2.1871329017581075e-05
CLPS,1.501292881672592,1.4005111591714194e-05,2.2685090434594543e-05
TP53TG5,1.0568217454865547,1.6845738215579342e-05,2.7129343779367492e-05
ERN2,-1.1357930219936458,1.764702360742249e-05,2.8369581447135176e-05
S100G,1.3129179796483639,1.8529099614409866e-05,2.974820958556207e-05
XKR7,1.460719344398885,1.972100568695533e-05,3.16060456523726e-05
LECT1,-1.1461951581789933,1.9991052204633007e-05,3.2030377896394214e-05
MTNR1A,-1.0045272253417303,2.3239802744278946e-05,3.7072485264578886e-05
C11orf86,-1.4812876927245693,2.425784812162233e-05,3.866260479449184e-05
C8B,-1.1733871434840646,2.573443756999757e-05,4.094074174852873e-05
CDK5R2,1.2088509892020625,2.6793166462646e-05,4.2595284639261584e-05
HSD3B1,-1.3885737970499987,4.345341740211593e-05,6.818227368077892e-05
NPFFR1,-1.1327554263531234,4.387812566277942e-05,6.881308877742516e-05
MAGEC2,1.7029177707034748,4.415824338764835e-05,6.924642525718151e-05
?|340602,-1.0216655562455637,4.5517609810916686e-05,7.128598910678108e-05
PRSS1,1.051042412238595,4.6005237834054464e-05,7.202488555029617e-05
ANGPTL3,-1.0426724829687575,5.5492316932266174e-05,8.629135871502145e-05
GABRA1,1.4508989714039062,0.00015469675721797955,0.00023335916728589392
GRID2,-1.310992580558879,0.0001555525220335386,0.00023453346795133793
FNDC7,-1.035536533634312,0.00018424054903126165,0.0002764367551942018
NEUROD2,-1.0794531864480947,0.0002380720130374487,0.00035440177079822365
ITLN1,-1.596031969016383,0.00024347593266243084,0.00036217965205967385
MAGEA11,1.0309078018931912,0.00027680881247910295,0.0004098211316435227
SERPINB3,-1.3455194638144283,0.0003104805914129281,0.0004582937240909447
CPLX2,1.1185274905407945,0.00032511443842026666,0.00047942791012347
HMX3,1.1449107849237221,0.0003716461583507326,0.0005453506667036183
SMPX,-1.2112448597785512,0.0005429816264603573,0.000787310382862664
IL28A,1.7309089166323206,0.0005849442713764708,0.0008449917127105704
SPRR2E,-1.2632016503864054,0.0008104003171576929,0.0011591793944068429
MYH6,1.1438476769959112,0.0008170715952715471,0.00116833848796897
ANKRD26P1,-1.0858651029494832,0.0008368472982977627,0.0011957870610655604
KRTDAP,-1.1320208659932312,0.0008501031222727939,0.0012139661986923722
CSTL1,1.3609948352769177,0.0009271945058402426,0.0013196029389999952
LOC648691,1.2988819291545957,0.0009917044584815341,0.0014085515182380903
SPRR2A,-1.3301794150320239,0.0010552638060827878,0.0014946286229477893
CYP2A13,1.055368273813927,0.00120666069846912,0.0017012504604006964
LHX9,1.071342391606088,0.0012579674081911873,0.0017708437654708978
LHX1,1.3538061824692327,0.0018140566905046889,0.0025195539399707656
GLYATL3,1.7300754206122364,0.002037827705806096,0.0028187369094823988
SCGB1A1,-1.3161493513984224,0.004587686856353307,0.00615489857357011
SPRR2D,-1.0853219768280107,0.006545930307066637,0.008636567415896662
CHIA,-1.1823399341828036,0.01009929736042602,0.013114389345971953
KRT78,-1.132786925302132,0.012486846808841472,0.016071418543543894
MYH7,1.2611872565350872,0.014141463159256323,0.018124132499327105
GABRG2,1.0887246464379432,0.014438499548318329,0.018491803790757655
PLUNC,1.0068248954075787,0.019933818202770473,0.02517730313246121
CSAG1,1.1045154713792198,0.029650707320054343,0.03682668022290865
MAGEA12,1.0650329501975633,0.02995582311359012,0.03718534152596024
