drug_chembl_id,rw_mean_HER2,rw_max_HER2
CHEMBL3474,0.0001364484266295,0.0001364484266295
CHEMBL3475,0.0002476626233169,0.0002476626233169
CHEMBL3477,0.0001336768174479,0.0001336768174479
CHEMBL3478,0.0001393970685133,0.0001393970685133
CHEMBL3510,2.8102531932413007e-05,2.8102531932413007e-05
CHEMBL3514,0.0001881573553183,0.0001881573553183
CHEMBL3568,0.0003169938763695,0.0003169938763695
CHEMBL3572,0.0001372923870154,0.0001372923870154
CHEMBL3582,0.0003696121548481,0.0003696121548481
CHEMBL3595,0.000245971012679,0.000245971012679
CHEMBL3610,0.0006311553269093,0.0006311553269093
CHEMBL3636,3.505523210456866e-05,3.505523210456866e-05
CHEMBL3650,0.000437993068526,0.000437993068526
CHEMBL3708,0.000168201414712,0.000168201414712
CHEMBL3710,7.339122111959493e-05,7.339122111959493e-05
CHEMBL3721,0.00020631900525,0.00020631900525
CHEMBL3723,0.0005827999579008,0.0005827999579008
CHEMBL3724,0.0002161780718011,0.0002161780718011
CHEMBL3727,0.0001804648925098,0.0001804648925098
CHEMBL3764,5.551710075231115e-05,5.551710075231115e-05
CHEMBL3768,0.0002105583900017,0.0002105583900017
CHEMBL3769,0.0001875824859467,0.0001875824859467
CHEMBL3770,0.0001366101941656,0.0001366101941656
CHEMBL3775,0.0003100842172527,0.0003100842172527
CHEMBL3816,0.0002353059874642,0.0002353059874642
CHEMBL3817,0.0001048675163081,0.0001048675163081
CHEMBL3819,0.0002101327886956,0.0002101327886956
CHEMBL3841,0.0001459908703382,0.0001459908703382
CHEMBL3856,0.000135811550797,0.000135811550797
CHEMBL3861,5.529647775871434e-05,5.529647775871434e-05
CHEMBL3863,0.000118972164263,0.000118972164263
CHEMBL3892,5.512432182025116e-05,5.512432182025116e-05
CHEMBL3898,0.0001513235843255,0.0001513235843255
CHEMBL3911,2.3300244581116933e-05,2.3300244581116933e-05
CHEMBL3913,9.141107435051448e-05,9.141107435051448e-05
CHEMBL3958,0.0001060499925482,0.0001060499925482
CHEMBL3961,0.0005090419512403,0.0005090419512403
CHEMBL3969,1.6412751215133828e-05,1.6412751215133828e-05
CHEMBL3974,0.0002234611587056,0.0002234611587056
CHEMBL4018,5.4633572265581904e-05,5.4633572265581904e-05
CHEMBL402,0.0001969477806603,0.0001969477806603
