drug,luma_pathway_overlap_jaccard,n_shared_pathways_luma
CHEMBL2085,0.0037537537537537537,10
CHEMBL2086,0.0011261261261261261,3
CHEMBL2088,0.0015015015015015015,4
CHEMBL209,0.0045045045045045045,12
CHEMBL2094,0.002627627627627628,7
CHEMBL2099,0.003003003003003003,8
CHEMBL210,0.006006006006006006,16
CHEMBL2100,0.0033783783783783786,9
CHEMBL2102,0.0015015015015015015,4
CHEMBL2104,0.0037537537537537537,10
CHEMBL2105,0.0037537537537537537,10
CHEMBL2106,0.0045045045045045045,12
CHEMBL2107,0.00975975975975976,26
CHEMBL2108,0.012762762762762763,34
CHEMBL2109,0.012012012012012012,32
CHEMBL2114,0.003003003003003003,8
CHEMBL2116,0.016516516516516516,44
CHEMBL2117,0.01463963963963964,39
CHEMBL212,0.013513513513513514,36
CHEMBL2120,0.026276276276276277,70
CHEMBL2121,0.0037537537537537537,10
CHEMBL2123,0.003003003003003003,8
CHEMBL2127,0.0022522522522522522,6
CHEMBL213,0.003003003003003003,8
CHEMBL2131,0.0015015015015015015,4
CHEMBL2139,0.0007507507507507507,2
CHEMBL2147,0.005255255255255256,14
CHEMBL2148,0.009009009009009009,24
CHEMBL215,0.010885885885885885,29
CHEMBL2156,0.0011261261261261261,3
CHEMBL2158,0.0018768768768768769,5
CHEMBL2159,0.0022522522522522522,6
CHEMBL216,0.003003003003003003,8
CHEMBL2160,0.0033783783783783786,9
CHEMBL2161,0.002627627627627628,7
CHEMBL2164,0.00975975975975976,26
CHEMBL2167,0.0533033033033033,142
CHEMBL217,0.0022522522522522522,6
CHEMBL2171,0.018018018018018018,48
CHEMBL218,0.0022522522522522522,6
CHEMBL2182,0.003003003003003003,8
CHEMBL2184,0.0037537537537537537,10
CHEMBL2185,0.012762762762762763,34
CHEMBL219,0.003003003003003003,8
CHEMBL2193,0.0045045045045045045,12
CHEMBL2194,0.0022522522522522522,6
CHEMBL220,0.004129129129129129,11
CHEMBL2200,0.002627627627627628,7
CHEMBL2202,0.0045045045045045045,12
CHEMBL2206,0.002627627627627628,7
CHEMBL221,0.003003003003003003,8
CHEMBL222,0.002627627627627628,7
CHEMBL223,0.0033783783783783786,9
CHEMBL224,0.003003003003003003,8
CHEMBL2249,0.0018768768768768769,5
CHEMBL225,0.003003003003003003,8
CHEMBL226,0.003003003003003003,8
CHEMBL227,0.004129129129129129,11
CHEMBL228,0.002627627627627628,7
CHEMBL229,0.0033783783783783786,9
CHEMBL230,0.0063813813813813815,17
CHEMBL231,0.003003003003003003,8
CHEMBL232,0.0033783783783783786,9
CHEMBL2326,0.0007507507507507507,2
CHEMBL2327,0.003003003003003003,8
CHEMBL2335,0.0022522522522522522,6
CHEMBL235,0.01126126126126126,30
CHEMBL236,0.004129129129129129,11
CHEMBL2360,0.004129129129129129,11
CHEMBL237,0.0045045045045045045,12
CHEMBL238,0.0045045045045045045,12
CHEMBL2388,0.0015015015015015015,4
CHEMBL239,0.012387387387387387,33
CHEMBL2392,0.00487987987987988,13
CHEMBL2399,0.007882882882882882,21
CHEMBL240,0.0022522522522522522,6
CHEMBL2401,0.005255255255255256,14
CHEMBL241,0.0015015015015015015,4
CHEMBL2412,0.021396396396396396,57
CHEMBL2413,0.0045045045045045045,12
CHEMBL2414,0.003003003003003003,8
CHEMBL2419,0.0018768768768768769,5
CHEMBL242,0.006006006006006006,16
CHEMBL2421,0.002627627627627628,7
CHEMBL2428,0.002627627627627628,7
CHEMBL2430,0.0022522522522522522,6
CHEMBL2433,0.0011261261261261261,3
CHEMBL2434,0.004129129129129129,11
CHEMBL2438,0.0011261261261261261,3
CHEMBL2439,0.0018768768768768769,5
CHEMBL244,0.0075075075075075074,20
CHEMBL2441,0.0011261261261261261,3
CHEMBL2442,0.004129129129129129,11
CHEMBL2443,0.0022522522522522522,6
CHEMBL2447,0.0018768768768768769,5
CHEMBL245,0.0045045045045045045,12
CHEMBL2457,0.0018768768768768769,5
CHEMBL246,0.003003003003003003,8
CHEMBL2465,0.0015015015015015015,4
CHEMBL2468,0.0015015015015015015,4
CHEMBL2469,0.0015015015015015015,4
CHEMBL2476,0.003003003003003003,8
CHEMBL2478,0.0011261261261261261,3
CHEMBL248,0.006756756756756757,18
CHEMBL2484,0.002627627627627628,7
CHEMBL2487,0.024774774774774775,66
CHEMBL249,0.0045045045045045045,12
CHEMBL2490,0.003003003003003003,8
CHEMBL2492,0.0022522522522522522,6
CHEMBL2493,0.002627627627627628,7
CHEMBL2494,0.012762762762762763,34
CHEMBL2498,0.051426426426426426,137
CHEMBL250,0.005255255255255256,14
CHEMBL2502,0.0018768768768768769,5
CHEMBL2503,0.0015015015015015015,4
CHEMBL2506,0.05855855855855856,156
CHEMBL2508,0.010510510510510511,28
CHEMBL251,0.00563063063063063,15
CHEMBL2514,0.002627627627627628,7
CHEMBL2517,0.0011261261261261261,3
CHEMBL252,0.002627627627627628,7
CHEMBL2524,0.003003003003003003,8
CHEMBL2527,0.009009009009009009,24
CHEMBL253,0.0022522522522522522,6
CHEMBL2531,0.0015015015015015015,4
CHEMBL2534,0.028903903903903905,77
CHEMBL2536,0.007132132132132132,19
CHEMBL254,0.002627627627627628,7
CHEMBL255,0.0063813813813813815,17
CHEMBL2552,0.002627627627627628,7
CHEMBL2553,0.01951951951951952,52
CHEMBL2559,0.0018768768768768769,5
CHEMBL256,0.003003003003003003,8
CHEMBL2575,0.004129129129129129,11
CHEMBL258,0.019894894894894894,53
CHEMBL2581,0.006756756756756757,18
CHEMBL2582,0.023273273273273273,62
CHEMBL259,0.0037537537537537537,10
CHEMBL2595,0.0015015015015015015,4
CHEMBL2597,0.03228228228228228,86
CHEMBL2599,0.017642642642642644,47
CHEMBL2600,0.006756756756756757,18
CHEMBL2608,0.0045045045045045045,12
CHEMBL2609,0.0011261261261261261,3
CHEMBL2626,0.005255255255255256,14
CHEMBL2632,0.010510510510510511,28
CHEMBL2634,0.013138138138138139,35
CHEMBL264,0.0022522522522522522,6
CHEMBL2641,0.0011261261261261261,3
CHEMBL2650,0.006756756756756757,18
CHEMBL2652,0.003003003003003003,8
CHEMBL2655,0.017267267267267267,46
CHEMBL2656,0.0011261261261261261,3
CHEMBL267,0.06306306306306306,168
CHEMBL268,0.00563063063063063,15
CHEMBL2692,0.0011261261261261261,3
CHEMBL271,0.008633633633633633,23
CHEMBL2736,0.0033783783783783786,9
CHEMBL274,0.007132132132132132,19
CHEMBL275,0.0022522522522522522,6
CHEMBL2754,0.012012012012012012,32
CHEMBL278,0.0063813813813813815,17
CHEMBL279,0.006756756756756757,18
CHEMBL2796,0.00487987987987988,13
CHEMBL280,0.004129129129129129,11
CHEMBL281,0.0022522522522522522,6
CHEMBL2835,0.021021021021021023,56
CHEMBL2847,0.012387387387387387,33
CHEMBL2849,0.006006006006006006,16
CHEMBL2882,0.003003003003003003,8
CHEMBL2883,0.0033783783783783786,9
CHEMBL2885,0.0007507507507507507,2
CHEMBL2886,0.004129129129129129,11
CHEMBL2887,0.006756756756756757,18
CHEMBL2888,0.0022522522522522522,6
CHEMBL2896,0.008258258258258258,22
CHEMBL2897,0.013888888888888888,37
CHEMBL2918,0.029654654654654656,79
CHEMBL2938,0.010135135135135136,27
CHEMBL2940,0.0033783783783783786,9
CHEMBL2959,0.002627627627627628,7
CHEMBL2960,0.019144144144144143,51
CHEMBL2963,0.0015015015015015015,4
CHEMBL2964,0.013513513513513514,36
CHEMBL2971,0.024399399399399398,65
CHEMBL2972,0.0015015015015015015,4
CHEMBL2979,0.0018768768768768769,5
CHEMBL3023,0.0015015015015015015,4
CHEMBL3024,0.019144144144144143,51
CHEMBL3025,0.0007507507507507507,2
CHEMBL3028,0.0015015015015015015,4
CHEMBL3030,0.01876876876876877,50
CHEMBL3038,0.0011261261261261261,3
CHEMBL3040,0.00563063063063063,15
CHEMBL3043,0.0015015015015015015,4
CHEMBL3076,0.002627627627627628,7
CHEMBL3079,0.0015015015015015015,4
CHEMBL3080,0.0022522522522522522,6
CHEMBL3123,0.0015015015015015015,4
CHEMBL3125,0.0018768768768768769,5
CHEMBL3126,0.0022522522522522522,6
CHEMBL3142,0.0045045045045045045,12
CHEMBL3143,0.011636636636636636,31
CHEMBL3155,0.0037537537537537537,10
CHEMBL3157,0.003003003003003003,8
CHEMBL3164,0.018018018018018018,48
CHEMBL3167,0.002627627627627628,7
CHEMBL3191,0.003003003003003003,8
CHEMBL3201,0.0037537537537537537,10
CHEMBL3230,0.002627627627627628,7
CHEMBL3233,0.011636636636636636,31
CHEMBL3240,0.004129129129129129,11
CHEMBL3253,0.011636636636636636,31
CHEMBL3254,0.008633633633633633,23
CHEMBL3256,0.005255255255255256,14
CHEMBL3276,0.0045045045045045045,12
CHEMBL3311,0.00563063063063063,15
CHEMBL3351,0.006756756756756757,18
CHEMBL3371,0.003003003003003003,8
CHEMBL3373,0.006006006006006006,16
CHEMBL3379,0.0045045045045045045,12
CHEMBL3409,0.005255255255255256,14
CHEMBL3419,0.002627627627627628,7
CHEMBL3421,0.006756756756756757,18
CHEMBL3429,0.00487987987987988,13
CHEMBL3438,0.007132132132132132,19
CHEMBL3473,0.003003003003003003,8
CHEMBL3474,0.00487987987987988,13
CHEMBL3475,0.007882882882882882,21
CHEMBL3477,0.003003003003003003,8
CHEMBL3478,0.0045045045045045045,12
CHEMBL3510,0.0007507507507507507,2
CHEMBL3514,0.0011261261261261261,3
