drug,lumb_pathway_enrichment_similarity
CHEMBL1778,0.3137918363208896
CHEMBL1782,0.09442243815537887
CHEMBL1783,0.6286074998872252
CHEMBL1785,0.17270073330011537
CHEMBL1786,0.034851706122223006
CHEMBL1787,0.08890019596539654
CHEMBL1790,0.290988565396381
CHEMBL1791,0.0923536675892755
CHEMBL1793,0.10276947525063579
CHEMBL1795,0.046119896160532255
CHEMBL1798,0.27247801683538797
CHEMBL1800,0.10276947525063579
CHEMBL1803,0.26005925607895264
CHEMBL1804,0.11341465039814252
CHEMBL1806,0.19607609657727565
CHEMBL1807,0.1887159449755219
CHEMBL1808,0.04401744426504264
CHEMBL1811,0.10429028190525404
CHEMBL1817,0.14686689991401494
CHEMBL1821,0.12406005862978825
CHEMBL1822,0.21778139655954806
CHEMBL1824,1.4929486046181228
CHEMBL1827,0.20828513117970868
CHEMBL1832,0.10276947525063579
CHEMBL1833,0.11648045313232235
CHEMBL1835,0.15244139010025493
CHEMBL1836,0.1019288569455347
CHEMBL1839,0.10158835192642789
CHEMBL1842,0.18080412643975421
CHEMBL1843,0.07313170215129787
CHEMBL1845,0.13524993420687018
CHEMBL1846,0.10897615706777411
CHEMBL1851,0.2240477973245758
CHEMBL1854,0.1019288569455347
CHEMBL1855,0.10429028190525404
CHEMBL1856,0.08890019596539654
CHEMBL1859,0.1866828295563437
CHEMBL1860,0.17719631290093996
CHEMBL1861,0.044675052376167854
CHEMBL1864,0.0635812710665091
CHEMBL1867,0.28652931610359905
CHEMBL1868,0.11709923895795746
CHEMBL1869,0.044675052376167854
CHEMBL1871,0.46490410223313616
CHEMBL1874,0.0748085077582767
CHEMBL1875,0.11411902817260304
CHEMBL1876,0.0748085077582767
CHEMBL1881,0.1019288569455347
CHEMBL1882,0.0518659383060765
CHEMBL1883,0.0518659383060765
CHEMBL1886,0.25834693891635785
CHEMBL1889,0.16540950567768534
CHEMBL1892,0.05539784558356498
CHEMBL1893,0.0941712568097447
CHEMBL1898,0.11123857871798151
CHEMBL1899,0.0518659383060765
CHEMBL1900,0.08830308973442316
CHEMBL1901,0.11865652481248336
CHEMBL1903,0.09261891866543238
CHEMBL1904,0.6360933015096438
CHEMBL1905,1.5481560480984338
CHEMBL1907,0.10068929171169551
CHEMBL1910,0.08561866404935069
CHEMBL1911,0.06456339177235765
CHEMBL1912,0.036998398655547535
CHEMBL1913,0.3152903244130876
CHEMBL1914,0.17960354960017766
CHEMBL1916,0.28652931610359905
CHEMBL1919,0.09435127813407221
CHEMBL1920,0.13306780661527953
CHEMBL1925,0.11908465948253506
CHEMBL1927,0.5571605294719019
CHEMBL1929,0.11370241609202883
CHEMBL1935,0.1556972947181351
CHEMBL1936,0.8914846715498886
CHEMBL1940,0.22781237677835553
CHEMBL1941,0.11411902817260304
CHEMBL1942,0.20147897351839508
CHEMBL1944,0.266095185332082
CHEMBL1947,0.17719631290093996
CHEMBL1950,0.12154430359116526
CHEMBL1951,0.22510980523010407
CHEMBL1952,0.14709130260007533
CHEMBL1957,0.3003521840155402
CHEMBL1958,0.10717276973658436
CHEMBL1959,0.22031900429240353
CHEMBL1962,0.13306780661527953
CHEMBL1963,0.1019288569455347
CHEMBL1966,0.03480814748979739
CHEMBL1968,0.04736179785042445
CHEMBL1969,0.07313170215129787
CHEMBL1970,0.1240509472373841
CHEMBL1971,0.2074639605796819
CHEMBL1972,0.2960783205566232
CHEMBL1975,0.20539410102931016
CHEMBL1976,0.07948142351643886
CHEMBL1977,0.24008438066849533
CHEMBL1978,0.16810473343133814
CHEMBL1981,0.2059112054967516
CHEMBL1983,0.11123857871798151
CHEMBL1985,0.18897698060335516
CHEMBL1987,0.10429028190525404
CHEMBL1988,0.046119896160532255
CHEMBL1989,0.20061760432088127
CHEMBL1991,1.8545837918201054
CHEMBL1992,0.27902032558346657
CHEMBL1993,0.40499892348097966
CHEMBL1994,0.24207340725542936
CHEMBL1995,0.1538943626645049
CHEMBL1996,0.1647879468349004
CHEMBL1997,0.05881442913108308
CHEMBL2000,0.14050656639903075
CHEMBL2001,0.17774213944768594
CHEMBL2002,0.21778139655954806
CHEMBL2004,0.1358098677542409
CHEMBL2008,0.19289172498956372
CHEMBL2014,0.11341465039814252
CHEMBL2015,0.44134788908104566
CHEMBL202,0.19056985444281765
CHEMBL2023,0.1732946529951668
CHEMBL2027,0.0
CHEMBL203,2.078722912921795
CHEMBL2033,0.16810473343133814
CHEMBL2034,0.5491158944062049
CHEMBL2035,0.1293019330441291
CHEMBL2039,0.04736179785042445
CHEMBL2040,0.043154310868098913
CHEMBL2044,0.06456339177235765
CHEMBL2045,0.06692326757833972
CHEMBL2049,0.11865652481248336
CHEMBL205,0.1020723706430681
CHEMBL2050,0.10901920171580137
CHEMBL2055,0.3843782175591352
CHEMBL2056,0.11411902817260304
CHEMBL2057,0.19056985444281765
CHEMBL2059,0.07388300023598036
CHEMBL206,0.949090076180703
CHEMBL2060,0.3305334456814765
CHEMBL2061,1.2134771484946587
CHEMBL2062,0.10897615706777411
CHEMBL2063,0.03611226507811718
CHEMBL2064,0.2586117223724207
CHEMBL2066,0.029589355572461833
CHEMBL2069,0.1978213538250838
CHEMBL207,1.0515859869575759
CHEMBL2070,1.7321004391749104
CHEMBL2071,0.17134824244670932
CHEMBL2074,0.05667184744665287
CHEMBL2075,0.183958141334146
CHEMBL2076,0.10771064679558118
CHEMBL2079,0.0602272025799312
CHEMBL208,0.5311022189288989
CHEMBL2081,0.09650510537881296
CHEMBL2083,0.24930879584681123
CHEMBL2084,0.061612334214078766
CHEMBL2085,0.20206673832280786
CHEMBL2086,0.0428683469891393
CHEMBL2088,0.06692326757833972
CHEMBL209,0.16746032063734145
CHEMBL2094,0.1208281744885916
CHEMBL2099,0.14553122784804662
CHEMBL210,0.29117056482317843
CHEMBL2100,0.09851666586924006
CHEMBL2102,0.14589995797815083
CHEMBL2104,0.1777528213842568
CHEMBL2105,0.12109161702740483
CHEMBL2106,0.2334431223811714
CHEMBL2107,0.4717805890248792
CHEMBL2108,0.4386019638867521
CHEMBL2109,0.691484082560984
CHEMBL2114,0.09904840749091319
CHEMBL2116,0.875976078955455
CHEMBL2117,0.7683996999356341
CHEMBL212,0.7944684252396859
CHEMBL2120,1.7173368474891197
CHEMBL2121,0.16460901477617979
CHEMBL2123,0.09904840749091319
CHEMBL2127,0.1027460932235406
CHEMBL213,0.12567789071493649
CHEMBL2131,0.07636220304074166
CHEMBL2139,0.03644273058382958
CHEMBL2147,0.2933072331335622
CHEMBL2148,0.4794805623723439
CHEMBL215,0.29719419045361156
CHEMBL2156,0.046119896160532255
CHEMBL2158,0.11587047759338259
CHEMBL2159,0.08302017730161403
CHEMBL216,0.1293019330441291
CHEMBL2160,0.13969202474826692
CHEMBL2161,0.08114481706574662
CHEMBL2164,0.5635899669474629
CHEMBL2167,3.9713549753322708
CHEMBL217,0.0761626271703359
CHEMBL2171,1.0548951387797583
CHEMBL218,0.09904840749091319
CHEMBL2182,0.11123857871798151
CHEMBL2184,0.0979066422651389
CHEMBL2185,0.6551648953688015
CHEMBL219,0.11123857871798151
CHEMBL2193,0.14012466702551984
CHEMBL2194,0.07080481973942365
CHEMBL220,0.14595799219410457
CHEMBL2200,0.10577671506050378
CHEMBL2202,0.10771064679558118
CHEMBL2206,0.10909121159284751
CHEMBL221,0.10287766321823039
CHEMBL222,0.0748085077582767
CHEMBL223,0.14293275998236055
CHEMBL224,0.11648045313232235
CHEMBL2249,0.07322414721817638
CHEMBL225,0.11648045313232235
CHEMBL226,0.09904840749091319
CHEMBL227,0.2015523924841056
CHEMBL228,0.06225770957381792
CHEMBL229,0.14293275998236055
CHEMBL230,0.24583039677172203
CHEMBL231,0.11648045313232235
CHEMBL232,0.14293275998236055
CHEMBL2326,0.01735501991598909
CHEMBL2327,0.11865652481248336
CHEMBL2335,0.1042774147893122
CHEMBL235,0.5700845614832484
CHEMBL236,0.19259693496148536
CHEMBL2360,0.09991561948033059
CHEMBL237,0.2027384801395919
CHEMBL238,0.1090106904390199
CHEMBL2388,0.05807591801877742
CHEMBL239,0.605076683599684
CHEMBL2392,0.16601638844013372
CHEMBL2399,0.28096669042794764
CHEMBL240,0.07198297091318082
CHEMBL2401,0.23153603138145545
CHEMBL241,0.07351062493757972
CHEMBL2412,1.322315200158679
CHEMBL2413,0.2007482527296632
CHEMBL2414,0.12679168954749506
CHEMBL2419,0.07062762219420875
CHEMBL242,0.3230512971674849
CHEMBL2421,0.12574110766946317
CHEMBL2428,0.1181176185975904
CHEMBL2430,0.10897615706777411
CHEMBL2433,0.04982778724572981
CHEMBL2434,0.18346353699414797
CHEMBL2438,0.05667184744665287
CHEMBL2439,0.07000267426495654
CHEMBL244,0.1761246503206941
CHEMBL2441,0.052387473148505365
CHEMBL2442,0.19198872571852177
CHEMBL2443,0.11549328495126192
CHEMBL2447,0.03480814748979739
CHEMBL245,0.20156882260112785
CHEMBL2457,0.07249962280899733
CHEMBL246,0.12567789071493649
CHEMBL2465,0.03480814748979739
CHEMBL2468,0.06202611426365235
CHEMBL2469,0.03480814748979739
CHEMBL2476,0.1340757028868072
CHEMBL2478,0.0
CHEMBL248,0.36907738667520673
CHEMBL2484,0.0518659383060765
CHEMBL2487,1.373569951049634
CHEMBL249,0.2015523924841056
CHEMBL2490,0.11648045313232235
CHEMBL2492,0.0518659383060765
CHEMBL2493,0.1083460083006822
CHEMBL2494,0.5397269166970069
CHEMBL2498,3.5275172245097095
CHEMBL250,0.25382256374468054
CHEMBL2502,0.07287088528379501
CHEMBL2503,0.05807591801877742
CHEMBL2506,3.9698522289751477
CHEMBL2508,0.5409385650117632
CHEMBL251,0.21621366205951664
CHEMBL2514,0.11865652481248336
CHEMBL2517,0.05317120558535576
CHEMBL252,0.11865652481248336
CHEMBL2524,0.09278411252477006
CHEMBL2527,0.5459034181273258
CHEMBL253,0.09904840749091319
CHEMBL2531,0.06415632704193874
CHEMBL2534,1.59873427375362
CHEMBL2536,0.32448709375575846
CHEMBL254,0.12210390091605872
CHEMBL255,0.24514676040986574
CHEMBL2552,0.11094071184338236
CHEMBL2553,1.0732569113125894
CHEMBL2559,0.07035391562217759
CHEMBL256,0.09904840749091319
CHEMBL2575,0.19056985444281765
CHEMBL258,1.1442884070267743
CHEMBL2581,0.30866444663682596
CHEMBL2582,1.3190430151879498
CHEMBL259,0.17033930834039604
CHEMBL2595,0.03611226507811718
CHEMBL2597,1.5149626743098266
CHEMBL2599,0.9935428089709756
CHEMBL2600,0.3223216988463561
CHEMBL2608,0.27387115440553705
CHEMBL2609,0.05539784558356498
CHEMBL2626,0.20061760432088127
CHEMBL2632,0.5311916096933185
CHEMBL2634,0.8241293554584777
CHEMBL264,0.0761626271703359
CHEMBL2641,0.041865667398183634
CHEMBL2650,0.2741169390380488
CHEMBL2652,0.13608492632819155
CHEMBL2655,0.748237939908661
CHEMBL2656,0.044675052376167854
CHEMBL267,4.392376289117911
CHEMBL268,0.24519051266474326
CHEMBL2692,0.0602272025799312
CHEMBL271,0.4540613455925023
CHEMBL2736,0.13247704141212074
CHEMBL274,0.3389127102218588
CHEMBL275,0.10280833717797423
CHEMBL2754,0.6893001306444001
CHEMBL278,0.3171141102256569
CHEMBL279,0.364921823063278
CHEMBL2796,0.2031390751161432
CHEMBL280,0.17850912219275683
CHEMBL281,0.03328009092217658
CHEMBL2835,1.245841513819312
CHEMBL2847,0.605076683599684
CHEMBL2849,0.39311562218058216
CHEMBL2882,0.11411902817260304
CHEMBL2883,0.12963817502626704
CHEMBL2885,0.01735501991598909
CHEMBL2886,0.23440292094983747
CHEMBL2887,0.25207951005167767
CHEMBL2888,0.09555243710120111
CHEMBL2896,0.43298920843444155
CHEMBL2897,0.8180201256794981
CHEMBL2918,1.5576513978088766
CHEMBL2938,0.4588060873757409
CHEMBL2940,0.23673036874553055
CHEMBL2959,0.13840461752301098
CHEMBL2960,0.8368271402711265
CHEMBL2963,0.05981093165473834
CHEMBL2964,0.7864389063950861
CHEMBL2971,1.5003237566285532
CHEMBL2972,0.08274001769684093
CHEMBL2979,0.08436676968332626
CHEMBL3023,0.03611226507811718
CHEMBL3024,1.0940638725771592
CHEMBL3025,0.01735501991598909
CHEMBL3028,0.11136404354808774
CHEMBL3030,0.8919896389666782
CHEMBL3038,0.036998398655547535
CHEMBL3040,0.25402601631946187
CHEMBL3043,0.044675052376167854
CHEMBL3076,0.07902362212869272
CHEMBL3079,0.043546535843992124
CHEMBL3080,0.05667184744665287
CHEMBL3123,0.06202611426365235
CHEMBL3125,0.1051013811424784
CHEMBL3126,0.1261025882388316
CHEMBL3142,0.21313790451535142
CHEMBL3143,0.35831938945261227
CHEMBL3155,0.13315848921769366
CHEMBL3157,0.13507163909594633
CHEMBL3164,0.7733496270327271
CHEMBL3167,0.09302083371320038
CHEMBL3191,0.10429028190525404
CHEMBL3201,0.14712694181911032
CHEMBL3230,0.09904840749091319
CHEMBL3233,0.5280773466011305
CHEMBL3240,0.19293304807064937
CHEMBL3253,0.607677079211426
CHEMBL3254,0.22510980523010407
CHEMBL3256,0.25552574897214664
CHEMBL3276,0.23826896837177713
CHEMBL3311,0.2615332591789917
CHEMBL3351,0.19509626834619234
CHEMBL3371,0.11411902817260304
CHEMBL3373,0.29117056482317843
CHEMBL3379,0.12049921513499852
CHEMBL3409,0.2948111728689805
CHEMBL3419,0.10732308115379004
CHEMBL3421,0.2741169390380488
CHEMBL3429,0.24435670014243613
CHEMBL3438,0.41533153570227477
CHEMBL3473,0.12679168954749506
CHEMBL3474,0.12097514461433104
CHEMBL3475,0.3904700359177609
CHEMBL3477,0.13608492632819155
CHEMBL3478,0.20828513117970868
CHEMBL3510,0.01735501991598909
CHEMBL3514,0.052387473148505365
CHEMBL3568,0.1425844668593804
CHEMBL3572,0.16854239661618106
CHEMBL3582,0.3341042973052079
CHEMBL3595,0.18473776702067313
CHEMBL3610,1.21441772945966
CHEMBL3636,0.11865652481248336
CHEMBL3650,1.0607407240307452
CHEMBL3708,0.8158453846815074
CHEMBL3710,0.09904840749091319
CHEMBL3721,0.24139418356692505
CHEMBL3723,0.5613866333815702
CHEMBL3724,0.12070539618871699
CHEMBL3727,0.052348392328456915
CHEMBL3764,0.11865652481248336
CHEMBL3768,0.266095185332082
CHEMBL3769,0.16746032063734145
CHEMBL3770,0.028055526893074736
CHEMBL3775,0.5630351689326739
CHEMBL3816,0.4069311034676254
CHEMBL3817,0.34039688406107643
CHEMBL3819,0.12070539618871699
CHEMBL3841,0.0428683469891393
CHEMBL3856,0.14097575148624167
CHEMBL3861,0.20612716055808203
CHEMBL3863,0.03611226507811718
CHEMBL3892,0.16683598157044982
CHEMBL3898,0.17588685642320828
CHEMBL3911,0.10429028190525404
CHEMBL3913,0.2093595597945249
CHEMBL3958,0.1393930210717196
CHEMBL3961,1.3921257528976223
CHEMBL3969,0.01735501991598909
CHEMBL3974,0.19394215563593087
CHEMBL4018,0.11341465039814252
CHEMBL402,0.18274945697286846
CHEMBL4068,0.15411143605872085
CHEMBL4069,0.15515694839914113
CHEMBL4071,0.48535880864590525
CHEMBL4072,0.4074574555425355
CHEMBL4074,0.04401744426504264
CHEMBL4076,0.12029748070264545
CHEMBL4121,1.208292344994035
CHEMBL4142,0.8614598662800181
CHEMBL4237,0.8275307502604811
CHEMBL4271,0.0941712568097447
CHEMBL4273,0.30559425115713346
CHEMBL4305,0.030819740439780374
CHEMBL4306,0.07198297091318082
CHEMBL4315,0.19037198730183458
CHEMBL4330,0.23285294225311215
CHEMBL4425,0.2741169390380488
CHEMBL4429,0.11865652481248336
CHEMBL4467,0.08436676968332626
CHEMBL4469,0.07686044439884278
CHEMBL4478,0.03420218268074319
CHEMBL4549,0.7505026483310984
CHEMBL4550,0.07424187733486749
