drug,n_pathways_her2,mean_pathway_score_her2,max_pathway_score_her2,sum_pathway_score_her2,her2_pathway_overlap_jaccard,n_shared_pathways_her2,her2_pathway_enrichment_similarity,n_families_her2,n_targets_with_family_her2
CHEMBL205,6,0.0004722129179362,0.0005376933654451,0.0028332775076175,0.0033745781777277,6,0.0321508653428345,1,1
CHEMBL2050,5,0.0005953424732458,0.0006855865214676,0.002976712366229,0.0028184892897406,5,0.0477700198844598,1,1
CHEMBL2055,19,0.000561447533676,0.0007571747234435,0.010667503139845,0.0107102593010146,19,0.0878192111054757,1,1
CHEMBL2056,7,0.0004527179455859,0.0005393420828279,0.0031690256191016,0.0039436619718309,7,0.0402053927764551,1,1
CHEMBL2057,10,0.0005392308218352,0.0007531305817134,0.0053923082183522,0.0056338028169014,10,0.0583420812856352,1,1
CHEMBL2059,4,0.000505168167384,0.0006098653326138,0.0020206726695361,0.0022535211267605,4,0.0324275783911278,1,1
CHEMBL206,43,0.0006162159694606,0.0011766986999204,0.0264972866868062,0.02423900789177,43,0.1450009105273949,1,1
CHEMBL2060,20,0.0004637569686814,0.0005652112260919,0.0092751393736283,0.0112739571589627,20,0.074423313003979,1,1
CHEMBL2061,65,0.0005109092788646,0.0007571747234435,0.0332091031261999,0.036640360766629,65,0.1478100694543763,1,1
CHEMBL2062,6,0.0004711853609659,0.0006680225852612,0.0028271121657955,0.0033821871476888,6,0.0414162684387338,1,1
CHEMBL2063,3,0.0004266200332487,0.0005106120661872,0.0012798600997461,0.0016891891891891,3,0.0205390830191816,1,1
CHEMBL2064,16,0.0004417508660455,0.0005267415572554,0.0070680138567287,0.0090140845070422,16,0.0615143563459098,1,1
CHEMBL2066,2,0.000429420483234,0.0004459816915536,0.000858840966468,0.0011273957158962,2,0.0217922115752095,1,1
CHEMBL2069,11,0.0005067638802339,0.0006740722549982,0.0055744026825732,0.0061936936936936,11,0.055479203116706,1,1
CHEMBL207,48,0.000615664167064,0.0008461166180533,0.0295518800190752,0.0270574971815107,48,0.1530622343545828,1,1
CHEMBL2070,85,0.0005626515027395,0.0010407767110391,0.0478253777328592,0.0476190476190476,85,0.1751565348496352,1,1
CHEMBL2071,9,0.0005362280951878,0.0008108424355144,0.0048260528566907,0.0050675675675675,9,0.0522154811358065,1,1
CHEMBL2074,3,0.0005178343852079,0.0005641791011353,0.0015535031556238,0.0016882386043894,3,0.022758313056048,1,1
CHEMBL2075,10,0.000512424735318,0.0006625912950968,0.0051242473531801,0.0056369785794813,10,0.0581478468637565,1,1
CHEMBL2076,7,0.000433954344164,0.0005001339661636,0.0030376804091481,0.0039347948285553,7,0.0314669760691516,1,1
CHEMBL2079,3,0.0005613785489136,0.000626279079074,0.0016841356467409,0.0016901408450704,3,0.0302169499486007,1,1
CHEMBL208,25,0.0005926356877284,0.0008384884579006,0.0148158921932113,0.0140924464487034,25,0.1063313572662536,1,1
CHEMBL2081,7,0.0003944237780973,0.0004827084140595,0.0027609664466812,0.0039458850056369,7,0.0374468819289946,1,1
CHEMBL2083,13,0.00053754596193,0.0007462603502602,0.006988097505091,0.0073280721533258,13,0.0695489907997333,1,1
CHEMBL2084,3,0.0005146086089316,0.0005377749017961,0.0015438258267949,0.0016910935738444,3,0.0319846223456548,1,1
CHEMBL2085,10,0.0005560829217109,0.000657537317527,0.0055608292171095,0.0056369785794813,10,0.0631019979063496,1,1
CHEMBL2086,3,0.0004017298803753,0.0004876563641275,0.0012051896411259,0.0016910935738444,3,0.0249688370652114,1,1
CHEMBL2088,4,0.0004672506264396,0.0005376933654451,0.0018690025057586,0.0022547914317925,4,0.0335338517889619,1,1
CHEMBL209,11,0.0004251352111677,0.0005376933654451,0.0046764873228456,0.0061971830985915,11,0.0484431852121492,1,1
CHEMBL2094,7,0.0004796839570817,0.0005641791011353,0.0033577876995725,0.0039458850056369,7,0.0455415456713248,1,1
CHEMBL2099,8,0.0005049441867696,0.0005359246183143,0.0040395534941574,0.0045095828635851,8,0.0512497702433063,1,1
CHEMBL210,16,0.0005013669226739,0.0006530297142755,0.0080218707627829,0.0090191657271702,16,0.0719646507697325,1,1
CHEMBL2100,7,0.0003977948311606,0.0005106120661872,0.0027845638181242,0.0039414414414414,7,0.0333073034363414,1,1
CHEMBL2102,4,0.0010319707360873,0.0013920415506414,0.0041278829443495,0.0022547914317925,4,0.0740629370113208,1,1
CHEMBL2104,10,0.0004889868739824,0.0005446992870151,0.004889868739824,0.0056369785794813,10,0.0554882149650127,1,1
CHEMBL2105,6,0.0005595855054551,0.0007670718705019,0.0033575130327308,0.0033745781777277,6,0.0380996740036642,1,1
CHEMBL2106,12,0.0005472966329271,0.0006783527302884,0.0065675595951255,0.0067643742953776,12,0.0680325816995703,1,1
CHEMBL2107,26,0.0005039062606959,0.0006928168902318,0.0131015627780946,0.0146561443066516,26,0.092201923379398,1,1
CHEMBL2108,20,0.0005929035826466,0.00082597242584,0.0118580716529323,0.0111856823266219,20,0.0729756823175581,1,1
CHEMBL2109,32,0.0006095178658903,0.000731237854006,0.0195045717084903,0.0180383314543404,32,0.1237271421457835,1,1
CHEMBL2114,6,0.0004615845661526,0.0005267415572554,0.0027695073969161,0.0033783783783783,6,0.0351367095359357,1,1
CHEMBL2116,41,0.0005850335262495,0.0013920415506414,0.0239863745762305,0.0230725942599887,41,0.1297602954622838,1,1
CHEMBL2117,36,0.0005864199046652,0.0013920415506414,0.02111111656795,0.020258863252673,36,0.1213060476186855,1,1
CHEMBL212,36,0.0006199495716895,0.0008461166180533,0.0223181845808227,0.020293122886133,36,0.1334784538144456,1,1
CHEMBL2120,69,0.0007127847716929,0.0010988121193565,0.0491821492468119,0.0388732394366197,69,0.210941502905856,1,1
CHEMBL2121,10,0.0004421894135877,0.0005381322009644,0.0044218941358777,0.0056369785794813,10,0.0501778320480953,0,0
CHEMBL2123,6,0.0004615845661526,0.0005267415572554,0.0027695073969161,0.0033783783783783,6,0.0351367095359357,1,1
CHEMBL2127,6,0.0004656943730207,0.0005694207023272,0.0027941662381247,0.0033821871476888,6,0.0409336213754564,1,1
CHEMBL213,8,0.0004370172287566,0.0005393420828279,0.0034961378300532,0.0045095828635851,8,0.0443554617579151,1,1
CHEMBL2131,3,0.0007103035421532,0.0008811303418983,0.0021309106264598,0.0016901408450704,3,0.0382330365545551,1,1
CHEMBL2139,2,0.0005005055399724,0.000508808170269,0.0010010110799448,0.0011273957158962,2,0.0253996328714937,1,1
CHEMBL2147,14,0.0005802924374108,0.0008504893563143,0.0081240941237521,0.0078917700112739,14,0.0779138170261238,1,1
CHEMBL2148,24,0.0005507159388073,0.0007791803970895,0.0132171825313757,0.0135287485907553,24,0.0968137002744563,1,1
CHEMBL215,19,0.0004345134876114,0.0006603210140613,0.0082557562646166,0.0106502242152466,19,0.0550125044084168,1,1
CHEMBL2156,3,0.0004241782411827,0.0004573696539163,0.0012725347235483,0.0016910935738444,3,0.0263640767293814,1,1
CHEMBL2158,5,0.0006292855211579,0.0008562893258499,0.0031464276057899,0.0028184892897406,5,0.0504935952155896,1,1
CHEMBL2159,5,0.0004660615476818,0.0004949681406336,0.0023303077384092,0.0028169014084507,5,0.0341382460895958,1,1
CHEMBL216,8,0.0004424891218515,0.000591415289828,0.0035399129748124,0.0045095828635851,8,0.0449108365325087,1,1
CHEMBL2160,8,0.0004854763617541,0.0005641791011353,0.003883810894033,0.0045070422535211,8,0.0464558460089702,1,1
CHEMBL2161,6,0.000380163611226,0.0004827084140595,0.0022809816673563,0.0033802816901408,6,0.030936866792554,1,1
CHEMBL2164,26,0.0006067603127137,0.0010175465554114,0.0157757681305585,0.0146561443066516,26,0.1110215772775518,1,1
CHEMBL2167,142,0.00079033826508,0.0011512315270704,0.1122280336413688,0.0800450958286358,142,0.3379564457508589,1,1
CHEMBL217,5,0.0004205883958036,0.000512515965027,0.0021029419790182,0.0028169014084507,5,0.0308074120892145,1,1
CHEMBL2171,48,0.000614749027033,0.0011544182125991,0.0295079532975878,0.0270574971815107,48,0.1528347184694893,1,1
CHEMBL218,6,0.0004615845661526,0.0005267415572554,0.0027695073969161,0.0033821871476888,6,0.0405723774180203,1,1
CHEMBL2182,7,0.0004417815109638,0.0005267415572554,0.0030924705767472,0.0039436619718309,7,0.0392341398057247,1,1
CHEMBL2184,6,0.0004625243949517,0.000500467121225,0.0027751463697107,0.0033745781777277,6,0.0314912171502227,1,1
CHEMBL2185,34,0.0005385659523538,0.0006336689435784,0.0183112423800319,0.0191657271702367,34,0.1126890986895475,1,1
CHEMBL219,7,0.0004417815109638,0.0005267415572554,0.0030924705767472,0.0039436619718309,7,0.0392341398057247,1,1
CHEMBL2193,9,0.0004586147075791,0.0005641791011353,0.004127532368212,0.0050647158131682,9,0.0427566250432535,1,1
CHEMBL2194,5,0.0004068308744669,0.0004827084140595,0.0020341543723345,0.0028169014084507,5,0.0297996961527424,1,1
CHEMBL220,8,0.0004949467046784,0.0006371887289965,0.0039595736374278,0.0045019696117051,8,0.0428406088185122,1,1
CHEMBL2200,6,0.0004903482559826,0.0005758943219129,0.002942089535896,0.0033802816901408,6,0.0399034474351038,1,1
CHEMBL2202,7,0.000433954344164,0.0005001339661636,0.0030376804091481,0.0039347948285553,7,0.0314669760691516,1,1
CHEMBL2206,6,0.0004947047125445,0.0007142412702925,0.0029682282752673,0.0033802816901408,6,0.0402579661537888,0,0
CHEMBL221,7,0.000404153361856,0.0005106120661872,0.0028290735329923,0.0039436619718309,7,0.0358924244417049,1,1
CHEMBL222,4,0.000530386366878,0.0008108424355144,0.0021215454675122,0.0022509848058525,4,0.0287744397344711,1,1
CHEMBL223,9,0.0004415827263274,0.000591415289828,0.003974244536947,0.0050732807215332,9,0.047537559692736,1,1
CHEMBL224,7,0.0004601569751573,0.000591415289828,0.0032210988261017,0.0039436619718309,7,0.0408660449743892,1,1
CHEMBL2249,5,0.0004066331395307,0.0005314568726946,0.0020331656976535,0.0028184892897406,5,0.0326280654144463,0,0
CHEMBL225,7,0.0004601569751573,0.000591415289828,0.0032210988261017,0.0039436619718309,7,0.0408660449743892,1,1
CHEMBL226,6,0.0004615845661526,0.0005267415572554,0.0027695073969161,0.0033783783783783,6,0.0351367095359357,1,1
CHEMBL227,11,0.0005036241350105,0.0006049246784944,0.0055398654851163,0.0062006764374295,11,0.0599385772022705,1,1
CHEMBL228,4,0.0004483137080789,0.0004950294023541,0.0017932548323158,0.0022509848058525,4,0.0243218464516471,1,1
CHEMBL229,9,0.0004415827263274,0.000591415289828,0.003974244536947,0.0050732807215332,9,0.047537559692736,1,1
CHEMBL230,17,0.0004051818073449,0.0005706336189103,0.0068880907248645,0.0095828635851183,17,0.0599484488826978,1,1
CHEMBL231,7,0.0004601569751573,0.000591415289828,0.0032210988261017,0.0039436619718309,7,0.0408660449743892,1,1
CHEMBL232,9,0.0004415827263274,0.000591415289828,0.003974244536947,0.0050732807215332,9,0.047537559692736,1,1
CHEMBL2326,1,0.0004827084140595,0.0004827084140595,0.0004827084140595,0.0005633802816901,1,0.0122482325587928,1,1
CHEMBL2327,7,0.0004700817472259,0.000591415289828,0.0032905722305815,0.0039436619718309,7,0.0417474532841851,1,1
