reactome_id,pathway_name,luma_pathway_score
R-HSA-199991,Membrane Trafficking,0.0161399033960673
R-HSA-8878166,Transcriptional regulation by RUNX2,0.0160853371591061
R-HSA-9012999,RHO GTPase cycle,0.0158964407258608
R-HSA-9730414,MITF-M-regulated melanocyte development,0.0158440781885434
R-HSA-8848021,Signaling by PTK6,0.0155950177394362
R-HSA-9006927,Signaling by Non-Receptor Tyrosine Kinases,0.0155950177394362
R-HSA-9694516,SARS-CoV-2 Infection,0.0155642023864068
R-HSA-9018519,Estrogen-dependent gene expression,0.015514715748201
R-HSA-9680350,Signaling by CSF1 (M-CSF) in myeloid cells,0.0154298404074271
R-HSA-5689880,Ub-specific processing proteases,0.015309613188125501
R-HSA-9711123,Cellular response to chemical stress,0.0152185759901322
R-HSA-9734767,Developmental Cell Lineages,0.0152046053004112
R-HSA-500792,GPCR ligand binding,0.0151915074627745
R-HSA-446728,Cell junction organization,0.015125216732027701
R-HSA-9909648,Regulation of PD-L1(CD274) expression,0.015122516479951
R-HSA-9662851,Anti-inflammatory response favouring Leishmania parasite infection,0.0149282874620842
R-HSA-9664433,Leishmania parasite growth and survival,0.0149282874620842
R-HSA-5654736,Signaling by FGFR1,0.0149104449183049
R-HSA-5654738,Signaling by FGFR2,0.0148724703983826
R-HSA-442755,Activation of NMDA receptors and postsynaptic events,0.0148224425386083
R-HSA-5654741,Signaling by FGFR3,0.0147478546812937
R-HSA-2029480,Fcgamma receptor (FCGR) dependent phagocytosis,0.0147433016831371
R-HSA-5654743,Signaling by FGFR4,0.0146664396738839
R-HSA-438064,Post NMDA receptor activation events,0.0144578702636808
R-HSA-9758941,Gastrulation,0.014420930076394
R-HSA-2428928,IRS-related events triggered by IGF1R,0.0144171175534111
R-HSA-2404192,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),0.0144171175534111
R-HSA-2428924,IGF1R signaling cascade,0.0144171175534111
R-HSA-5693532,DNA Double-Strand Break Repair,0.0143395106909307
R-HSA-69481,G2/M Checkpoints,0.0142897395208623
R-HSA-9006115,Signaling by NTRK2 (TRKB),0.0139042649253722
R-HSA-5637815,Signaling by Ligand-Responsive EGFR Variants in Cancer,0.0138031849439535
R-HSA-1236382,Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,0.0138031849439535
R-HSA-1643713,Signaling by EGFR in Cancer,0.0138031849439535
R-HSA-9682385,FLT3 signaling in disease,0.0137583100490413
R-HSA-9664565,Signaling by ERBB2 KD Mutants,0.013732853275682199
R-HSA-1227990,Signaling by ERBB2 in Cancer,0.013732853275682199
R-HSA-6802957,Oncogenic MAPK signaling,0.0137217738883692
R-HSA-451927,Interleukin-2 family signaling,0.013707376610379499
R-HSA-9820952,Respiratory Syncytial Virus Infection Pathway,0.0135766013110942
R-HSA-421270,Cell-cell junction organization,0.0135485060616415
R-HSA-68886,M Phase,0.013464515052355101
R-HSA-6802952,Signaling by BRAF and RAF1 fusions,0.0133216188040973
R-HSA-389356,Co-stimulation by CD28,0.0132983977539331
R-HSA-170834,Signaling by TGF-beta Receptor Complex,0.0132750905100539
R-HSA-937061,TRIF (TICAM1)-mediated TLR4 signaling ,0.0132692008388583
R-HSA-166166,MyD88-independent TLR4 cascade ,0.0132692008388583
R-HSA-9839923,Dengue Virus Infection,0.0131902824277177
R-HSA-418990,Adherens junctions interactions,0.0131742726455075
R-HSA-181438,Toll Like Receptor 2 (TLR2) Cascade,0.0130453826469056
R-HSA-168179,Toll Like Receptor TLR1:TLR2 Cascade,0.0130453826469056
R-HSA-166058,MyD88:MAL(TIRAP) cascade initiated on plasma membrane,0.0130453826469056
R-HSA-168188,Toll Like Receptor TLR6:TLR2 Cascade,0.0130453826469056
R-HSA-373760,L1CAM interactions,0.0130007220736892
R-HSA-74752,Signaling by Insulin receptor,0.0128841865085836
R-HSA-74751,Insulin receptor signalling cascade,0.0128841865085836
R-HSA-112399,IRS-mediated signalling,0.0128841865085836
R-HSA-6804756,Regulation of TP53 Activity through Phosphorylation,0.012776103133775401
R-HSA-202403,TCR signaling,0.012768816558355999
R-HSA-418555,G alpha (s) signalling events,0.0127562826496951
R-HSA-201556,Signaling by ALK,0.012729594597817199
R-HSA-9614085,FOXO-mediated transcription,0.0126947794247489
R-HSA-9656223,Signaling by RAF1 mutants,0.0125962136024986
R-HSA-9649948,Signaling downstream of RAS mutants,0.0125962136024986
R-HSA-6802946,Signaling by moderate kinase activity BRAF mutants,0.0125962136024986
R-HSA-6802949,Signaling by RAS mutants,0.0125962136024986
R-HSA-6802955,Paradoxical activation of RAF signaling by kinase inactive BRAF,0.0125962136024986
R-HSA-382551,Transport of small molecules,0.012564049150908
R-HSA-9759476,Regulation of Homotypic Cell-Cell Adhesion,0.0125014084693061
R-HSA-9764274,Regulation of Expression and Function of Type I Classical Cadherins,0.0125014084693061
R-HSA-9764265,Regulation of CDH1 Expression and Function,0.0125014084693061
R-HSA-6798695,Neutrophil degranulation,0.0123972769536802
R-HSA-2172127,DAP12 interactions,0.0123552064163443
R-HSA-2424491,DAP12 signaling,0.0123552064163443
R-HSA-212165,Epigenetic regulation of gene expression,0.0123403162028075
R-HSA-9665348,Signaling by ERBB2 ECD mutants,0.0123165877771594
R-HSA-9006335,Signaling by Erythropoietin,0.0123146105367903
R-HSA-5637810,Constitutive Signaling by EGFRvIII,0.0122878183429542
R-HSA-5637812,Signaling by EGFRvIII in Cancer,0.0122878183429542
R-HSA-446652,Interleukin-1 family signaling,0.0121914406370372
R-HSA-1226099,Signaling by FGFR in disease,0.0121851719597732
R-HSA-2871796,FCERI mediated MAPK activation,0.012041252459839301
R-HSA-69275,G2/M Transition,0.012004783686001
R-HSA-453274,Mitotic G2-G2/M phases,0.012004783686001
R-HSA-76005,Response to elevated platelet cytosolic Ca2+,0.012003134712610799
R-HSA-5357801,Programmed Cell Death,0.0119355972037564
R-HSA-168181,Toll Like Receptor 7/8 (TLR7/8) Cascade,0.0118217419218352
R-HSA-168138,Toll Like Receptor 9 (TLR9) Cascade,0.0118217419218352
R-HSA-975138,TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,0.0118217419218352
R-HSA-975155,MyD88 dependent cascade initiated on endosome,0.0118217419218352
R-HSA-2559580,Oxidative Stress Induced Senescence,0.0118023008284116
R-HSA-201681,TCF dependent signaling in response to WNT,0.0117899320653653
R-HSA-9856530,High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells,0.0116766216919504
R-HSA-168164,Toll Like Receptor 3 (TLR3) Cascade,0.0115610804624411
R-HSA-375165,NCAM signaling for neurite out-growth,0.0115084752765154
R-HSA-9679191,Potential therapeutics for SARS,0.0114912850593317
R-HSA-9843745,Adipogenesis,0.0114876015613986
R-HSA-114604,GPVI-mediated activation cascade,0.0114100629612458
R-HSA-3858494,Beta-catenin independent WNT signaling,0.0113883512518737
R-HSA-9705683,SARS-CoV-2-host interactions,0.0113091231147594
R-HSA-1250196,SHC1 events in ERBB2 signaling,0.011265741878341
R-HSA-975871,MyD88 cascade initiated on plasma membrane,0.0112577399737904
R-HSA-168176,Toll Like Receptor 5 (TLR5) Cascade,0.0112577399737904
R-HSA-168142,Toll Like Receptor 10 (TLR10) Cascade,0.0112577399737904
R-HSA-2682334,EPH-Ephrin signaling,0.0111781322092408
