gene,log2FC,pvalue,FDR
EPHA6,-1.2528083027577224,3.555990742845748e-13,9.359412882015783e-13
MAP3K15,-1.0432415729672153,3.5568476098151867e-13,9.360314737814925e-13
FUT3,1.76721913835957,3.9487918950662583e-13,1.0373770943266143e-12
FAM174B,-1.0564948277902673,4.0432220855080817e-13,1.0617249224250377e-12
SPHKAP,-2.322249266185346,4.126176706137268e-13,1.08272732567128e-12
IRX2,-1.5705327790271024,4.1321811284917074e-13,1.08414662845106e-12
KRT75,2.1006568706355777,4.2103980158881037e-13,1.1043497850606794e-12
KRT86,1.9499709847319204,4.2706910397946637e-13,1.1200027229128693e-12
HAND2,-1.2661484909456746,4.2745733746212277e-13,1.1208593940972371e-12
ORM2,2.8450362409752623,4.351401124091664e-13,1.1401835995658638e-12
C1orf88,-1.2760701739850857,4.3689516128040864e-13,1.1444528163458452e-12
COL4A5,-1.7384927565392374,4.393559659697177e-13,1.1505677814050886e-12
KRTCAP3,1.422903373180258,4.4189186116549116e-13,1.1568758160212047e-12
HBG1,-1.3179649958574984,4.4345861256667707e-13,1.1606437274696222e-12
B4GALNT4,1.4208960113622915,4.4981762546053385e-13,1.1771176302843728e-12
DAPK1,1.021149739614156,4.510655482752436e-13,1.180213623006218e-12
C19orf76,-1.0447398745413672,4.604754656104944e-13,1.2043212787581148e-12
DOK6,-1.1205073026393677,4.833038769620638e-13,1.2625689541246337e-12
TRH,-1.713777660078116,4.996609306163727e-13,1.304925096127666e-12
NETO2,1.0890443070185798,5.095373370449713e-13,1.3303367966479652e-12
SEMA5B,1.2695824949698196,5.107916013827815e-13,1.3334202667389607e-12
NCCRP1,2.104626565273996,5.224558449658024e-13,1.3632832204576405e-12
CPXM1,-1.239243596875374,5.227849963567612e-13,1.3639465800031711e-12
ABCB11,-1.2326736359332462,5.425408348364069e-13,1.4130592096905301e-12
EPHB2,1.2422366966504912,5.429219717345301e-13,1.4136473539527466e-12
TEX9,-1.0395895668126407,5.583698269015539e-13,1.4530679200584103e-12
MX1,1.2944727660078144,5.583810416309719e-13,1.4530679200584103e-12
RUFY4,1.5656574920108888,5.75164571773874e-13,1.4961018433837994e-12
LOC221442,-1.143460581133862,5.78748976863352e-13,1.5052104051783964e-12
LOC647309,-1.0754247484909458,5.808464578390265e-13,1.510233976866705e-12
GZMB,1.78107207953604,5.833862102693603e-13,1.5166208491192753e-12
