gene,log2FC,pvalue,FDR
PDE6B,-1.384878602784398,2.891138985524453e-09,8.29169732999868e-09
LIMD2,1.2377585852251327,2.939410545008629e-09,8.426155929258593e-09
NEUROG2,-2.2673180985827166,2.9466296760069465e-09,8.445520389285851e-09
TTC18,-1.3579301643045278,2.971629090013634e-09,8.511811852953292e-09
AKR1B10,2.852405506083031,3.024331785276771e-09,8.655960925690733e-09
SFTPD,-1.406287394957983,3.0250958829969354e-09,8.656396347424214e-09
LONRF2,-1.649593227141601,3.0254350141357386e-09,8.656396347424214e-09
FAM171A2,1.4625374012291488,3.0718540273198577e-09,8.783752389520644e-09
CYP1A1,-1.7858050671014682,3.2028790417616733e-09,9.138245642192434e-09
SMOC1,-2.000330753794053,3.2595034803207314e-09,9.295431905417244e-09
PRG2,-1.3192479367866552,3.2817000700928833e-09,9.352870890230274e-09
CLDN8,-2.1299219867051313,3.349170999222085e-09,9.539189438091005e-09
ZNF385B,-1.8411968644174097,3.3581233125063197e-09,9.56319127934176e-09
HSPA12A,-1.0603771855010642,3.41640937928191e-09,9.72309254707139e-09
DLG2,-1.3463139094443726,3.5149358123034246e-09,9.98944209076647e-09
LOC100133545,-1.4788972156026587,3.603021970531225e-09,1.0227009033148274e-08
FAM106C,-1.000019352815753,3.73565277682484e-09,1.0593564028126275e-08
PPP1R3G,-1.0018826539571042,3.851914501276245e-09,1.0913058313888169e-08
PCDHGA4,-1.360527994481374,3.882184364165651e-09,1.0995394737965979e-08
TTBK1,1.2622343158158795,3.906317570732344e-09,1.1058584562992358e-08
KPNA7,1.826931042267653,3.9431244658497e-09,1.115064387942552e-08
SLC9A2,2.0830148877461427,3.986704553426826e-09,1.127038095760654e-08
CRISP3,3.8449207073874327,4.010519293380116e-09,1.1330666257550559e-08
CDKN2BAS,1.1388612316568418,4.111428043273774e-09,1.1606750104173775e-08
IFI27,1.476035193779003,4.121077053353002e-09,1.1632185703548566e-08
TNFRSF8,-1.3417277938040888,4.143694582216161e-09,1.16924000124137e-08
WISP2,-1.7994647936786645,4.151566503360271e-09,1.1710981723332871e-08
ALDH3B2,1.9437815126050424,4.185863024857862e-09,1.1804068883266872e-08
NUDT8,1.6296883230904289,4.262919168654078e-09,1.2015781608394268e-08
RBPMS2,-1.2812856515740627,4.308647458990399e-09,1.2139035705928218e-08
SERPINA11,-2.6255217233161923,4.420099308080966e-09,1.2440762362461224e-08
MMP10,2.4665411388435983,4.420526888996275e-09,1.2440762362461224e-08
C1orf101,-1.129500489150884,4.472822351082327e-09,1.2585992465103045e-08
IGFL3,1.2550358208955223,4.517639781142727e-09,1.270228559409037e-08
RAC3,1.129108390819014,4.64414725957515e-09,1.3055971052671267e-08
PRRT3,1.0331258622852104,4.798667907517269e-09,1.347580251782426e-08
ARMC3,1.965774250595761,4.822164866884175e-09,1.3537610590976654e-08
GNAZ,-1.1795664492662734,4.880719276201676e-09,1.3697769501187036e-08
BSN,-1.3055859400476608,5.016506671911236e-09,1.4061513851062555e-08
CNGA2,1.829031004640662,5.059839880000763e-09,1.4174248281879637e-08
ETV7,1.3783511977925507,5.433066066342192e-09,1.519172067674761e-08
ANKRD45,-1.0847231782265148,5.451001941852274e-09,1.5239531308176463e-08
NR4A2,-1.1711030477862785,5.757348866905985e-09,1.607131136701267e-08
PCDHB5,-1.4873317195534934,5.849395631759584e-09,1.6310745815704614e-08
MYCN,1.7344761821146362,5.905772618237321e-09,1.6465427932267417e-08
CA13,-1.1853212216229778,5.951671767749494e-09,1.659085469959327e-08
HIST1H2BN,1.1001953342531046,6.077064001388216e-09,1.69222573072158e-08
SGCD,-1.0157756302521026,6.132993387817154e-09,1.7067555211502163e-08
EFCAB6,-1.0952923491784787,6.303186338466186e-09,1.752243447145693e-08
C9orf66,-1.0349538943935785,6.382475730905449e-09,1.7732021631512805e-08
SGSM1,-1.235231155148628,6.4471416993365816e-09,1.7895291301162517e-08
REEP1,1.2502107487771248,6.4857462505200165e-09,1.7996957164362173e-08
WISP3,-1.92263952088298,6.695915143066986e-09,1.8560338563917823e-08
BCL2A1,1.145859400476609,6.8398561498071065e-09,1.8927622604885797e-08
DNALI1,-2.100156101843722,7.352784623790341e-09,2.0294577483981135e-08
APOBEC3A,1.4317879091935275,7.602819377613883e-09,2.09719838052289e-08
LOC100130148,-1.174669208578954,7.612259166448466e-09,2.0991660900903112e-08
CYP4Z2P,2.1205086792926133,7.992872770989792e-09,2.201123495466372e-08
FAM69C,-1.3561373886868178,8.098331060405834e-09,2.22814268882357e-08
DUSP15,-1.4429359714034877,8.101475764072537e-09,2.2286710493186095e-08
CPNE7,1.4411920857895408,8.116179438751081e-09,2.2320413102218755e-08
GRIN2B,-1.320114135206322,8.168454802977488e-09,2.2456029047121414e-08
ALDH2,-1.2243972532296503,8.309002381801369e-09,2.2826557554471825e-08
CLGN,1.9051348425937515,8.455519185149633e-09,2.320105754104293e-08
SLC26A3,-2.6209883983444127,8.563210501820608e-09,2.3482392402024787e-08
CHRDL2,-1.550201944061207,8.63147815858698e-09,2.3662469415776926e-08
LRRC46,1.2741973535682947,8.687191275101074e-09,2.3800864355909823e-08
C6orf186,-1.0101291609180985,8.724401230289243e-09,2.3899213784041396e-08
GPR77,-1.2976421422300275,9.25500589886646e-09,2.5310828181650562e-08
SMC1B,1.8971254107613191,9.301766107888708e-09,2.5431067657239134e-08
PI3,-2.697290655963877,9.316648223354477e-09,2.546793026125868e-08
TSPAN1,1.8203183118023318,9.335027764602478e-09,2.5514340900759594e-08
C11orf66,-1.0753408127430069,9.339827821982481e-09,2.551979673424604e-08
KGFLP1,-1.2179155399473225,9.958187411268846e-09,2.717674444487658e-08
LHFPL5,1.553608466072996,1.0118320039667787e-08,2.7593075607801156e-08
LRRC31,2.6672150006271176,1.0299659087245141e-08,2.807497669438804e-08
ZIM2,-1.3260054057443875,1.0347991251227057e-08,2.819827615959373e-08
CLIC3,1.8425826664994345,1.050722631428267e-08,2.8606497247814455e-08
SLC16A5,-1.0245133199548473,1.0564918496034673e-08,2.875926594636147e-08
SMTNL2,-1.453751247961872,1.0940690618787605e-08,2.9742143269682018e-08
PTHLH,-1.6056600025084649,1.1660007063547764e-08,3.1626748409739226e-08
C21orf130,-1.0303342781888887,1.1927695492245387e-08,3.2338373703506514e-08
C4orf31,-1.556242944939168,1.2255790864840333e-08,3.320317921010397e-08
COL29A1,1.6784941552740507,1.2428133211740014e-08,3.365005337696021e-08
RNF112,-1.1035898281700742,1.3209247658206159e-08,3.566418497809651e-08
CRIP1,1.5563720180609568,1.324599714682368e-08,3.575810263438105e-08
C1orf21,-1.0686497052552326,1.3407816199147515e-08,3.6168120668802937e-08
STEAP4,-1.818886103097956,1.3472969885221422e-08,3.633310678824971e-08
HOPX,1.1011470964505197,1.3487475550468681e-08,3.636683712711915e-08
LANCL3,-1.0719935908691838,1.351873603508724e-08,3.64349351564544e-08
ADAM22,-1.2706869058070973,1.361470891280706e-08,3.666645159636439e-08
MRC1,-1.665268719428072,1.3672777602785949e-08,3.6806502618088233e-08
OR7E91P,1.5248109745390699,1.3759797442589965e-08,3.702433005875316e-08
PTGES,-1.1425512855888655,1.3830369039557554e-08,3.7203222643278586e-08
APLP1,1.4175590492913583,1.402954295423794e-08,3.773341761170113e-08
GPRIN2,-2.023553116769097,1.4080088460149723e-08,3.785817581094615e-08
TNFRSF18,1.4333821648062202,1.4149108707323481e-08,3.803252005307285e-08
ATHL1,-1.339403988461056,1.4391174182322545e-08,3.866035177698012e-08
C14orf128,-1.1060420544337157,1.4447947038281964e-08,3.879568962057038e-08
SALL2,-1.3159836197165404,1.4705549248932216e-08,3.945830085175606e-08
SLC34A3,1.0198931644299514,1.4890667659083791e-08,3.9931470742236634e-08
OTP,1.0243233663614701,1.5150715837563317e-08,4.0592946775267155e-08
WBSCR17,-1.6682776746519483,1.549401961319781e-08,4.1451740008677213e-08
SOHLH1,1.574875529913458,1.6020837494493116e-08,4.282968202559233e-08
PP14571,2.3650005393202074,1.606557788422213e-08,4.293667805410299e-08
CLEC2L,-1.110008089803085,1.619249803912238e-08,4.325048302364559e-08
C7orf46,-1.0639219490781375,1.623090060188577e-08,4.333398117572993e-08
FGF5,1.437478514988085,1.6511160100013567e-08,4.4049926322812095e-08
PADI3,2.6821167440110383,1.6685930773474123e-08,4.4496630218217034e-08
VTCN1,-1.8455031481249229,1.6828123522450084e-08,4.486267318089614e-08
F5,1.2608877210585732,1.7471267596068084e-08,4.64955386039806e-08
DACH1,-1.9230497303398968,1.7699115480148278e-08,4.708125077964915e-08
CHI3L1,-1.7086932647685984,1.783326133217963e-08,4.743115956014989e-08
IL2RA,1.2947944061206558,1.783710038520324e-08,4.743443949040973e-08
ZBTB8B,-1.077214411137589,1.7928905704749578e-08,4.765769137610347e-08
PAX3,-1.3562388686818008,1.798568219405742e-08,4.780163132989155e-08
HOXC12,1.5228771604164055,1.8173024352623344e-08,4.828544187575576e-08
TERT,1.0320360466574687,1.830681821154969e-08,4.862673455491595e-08
TNIP3,1.6277778251599135,1.8848139185513115e-08,5.000622031684816e-08
CTLA4,1.2920894268155028,1.8892738951349106e-08,5.011724382562049e-08
PDK2,-1.0738058321836235,1.9252560891761702e-08,5.103456617340007e-08
KCNK5,-1.1132319076884478,1.9307732929637794e-08,5.1173363791234246e-08
HK3,1.4174238931393441,1.95176884533377e-08,5.1662132167530344e-08
ANO5,-1.8807681424808713,1.966209133154657e-08,5.2036791001474586e-08
PTCHD2,1.5321745139846983,1.9686351450701676e-08,5.209342280231467e-08
ANKRD20B,-1.1919357958108612,1.973208219808925e-08,5.22068448040434e-08
RIMKLA,1.4432110623353838,2.0175521297516697e-08,5.3333577429377935e-08
HEPACAM2,-2.3004928634140205,2.0325430392814947e-08,5.370646094359275e-08
OSTalpha,1.2345780132948692,2.0460713942238572e-08,5.4056077778021586e-08
SLURP1,1.847890229524646,2.0739976061468752e-08,5.477002527882137e-08
TGFA,-1.1791800576947171,2.075361214229141e-08,5.479808555644481e-08
WNK2,-1.4182443747648321,2.126707820609722e-08,5.609688807210371e-08
MYOM2,-1.8216576570926883,2.1283020556428767e-08,5.613080602559734e-08
TH,1.819558208955224,2.1668975661393176e-08,5.7132150052772296e-08
DSCAML1,-1.413989953593377,2.1752041485448682e-08,5.734285462123423e-08
TPH1,-1.2143082152263884,2.187710191362928e-08,5.765583989196377e-08
C8orf73,1.1683413520632149,2.223645419231552e-08,5.857744944467719e-08
UNC80,-1.0626800827793808,2.2425981393237923e-08,5.9051083364835805e-08
CD207,-1.419099962373009,2.2438128770887858e-08,5.907452386700487e-08
CDC42EP5,-1.0355625736861906,2.36023404619216e-08,6.20230118995754e-08
SLC2A12,-1.1945299510849114,2.3626902053495566e-08,6.205172386088296e-08
FZD9,-1.1667688573937043,2.4091612405124404e-08,6.320836272852112e-08
VSNL1,-1.3890673523140586,2.4125377543638723e-08,6.328782928762872e-08
SPDYC,2.390119039257494,2.4184662100791252e-08,6.343420810096587e-08
FZD10,-1.0534497930515485,2.459701524854312e-08,6.446932592789495e-08
DDN,1.1542275429574809,2.4870420225976296e-08,6.512029047374087e-08
SHISA9,1.5082007901668142,2.6052779460996637e-08,6.813775065064969e-08
THBS4,-1.6713422300263403,2.62960790603883e-08,6.875431300434475e-08
PDE3A,-1.1918812868430946,2.6329462220760833e-08,6.88317105851658e-08
LRRC48,-1.1760571804841344,2.646855084807058e-08,6.914567036271941e-08
GDA,-1.2037237928007025,2.6544291009893073e-08,6.932363403917985e-08
WNT6,-1.529914323341277,2.862348550285912e-08,7.456114862743911e-08
EYA2,-1.256881763451652,2.8751173874061358e-08,7.488304736436384e-08
THRSP,-2.2386511350808957,2.987439907679649e-08,7.768624091356094e-08
HGD,1.9016125674150253,3.0031482552200406e-08,7.807241886571037e-08
FFAR3,-1.0559297127806342,3.139491470495999e-08,8.148889667394648e-08
AFP,-2.3048036623604657,3.205611303932804e-08,8.31339828543793e-08
DLX4,1.377264994355952,3.2274563546421185e-08,8.367666717497576e-08
HRASLS2,1.6828277060077754,3.261559354934074e-08,8.447661488028592e-08
MATN4,-1.4045798068481128,3.266105433621058e-08,8.45823263738855e-08
GAS2L2,-1.6389956227267026,3.291108935813533e-08,8.519348116981477e-08
MCOLN2,1.0649185501066079,3.345285490174195e-08,8.654666256060386e-08
IPW,-1.0666289226138197,3.435305866002568e-08,8.878726775357765e-08
TNFRSF4,1.0394959739119525,3.564823743002786e-08,9.203018946798996e-08
RASL11A,-1.130189903424057,3.672424320505871e-08,9.470058068588805e-08
CHADL,-1.0767933651072372,3.6783694011876946e-08,9.484022226092011e-08
TP53TG3B,-1.2283479869559757,3.6939170336768864e-08,9.521434687626786e-08
LILRB5,-1.476162899786778,3.7277662417542155e-08,9.603244961598073e-08
SDR16C5,2.3132158158785883,3.7716309539655405e-08,9.713497206428232e-08
CNTN1,-1.5089076006522024,3.807487409397252e-08,9.801681984621437e-08
PROM1,-2.4367264016054175,3.8519069383098875e-08,9.913228050057244e-08
HES4,1.0906387934278179,3.884242339322854e-08,9.993620254797725e-08
FCER2,-1.8285929512103354,4.186264358090476e-08,1.0749410369631957e-07
OMD,-1.388753016430452,4.2093371108265496e-08,1.0805607591083865e-07
DSCR6,1.517765696726452,4.226329928747058e-08,1.0846169983502425e-07
SIM1,-1.7196432961244206,4.2452862294784286e-08,1.089174703808257e-07
C2CD4C,-1.3556675028220235,4.259590199208427e-08,1.0926905354592869e-07
ENHO,-1.4686791546469342,4.2706188166181385e-08,1.0953652855981398e-07
NCOA7,-1.00602716668757,4.274994971718959e-08,1.0963332413384081e-07
MEGF10,-1.625896437978179,4.363256686766356e-08,1.1181805078024493e-07
ORM2,2.6476478239056815,4.364754291250684e-08,1.118406846334969e-07
KCNA5,-1.279146569672645,4.523669508911256e-08,1.1579856007693939e-07
LRRIQ3,-1.013046281199046,4.7658858968161694e-08,1.217933749540148e-07
PKHD1,-1.3305088925122286,4.856416224284568e-08,1.2405465132002807e-07
ALS2CR11,-1.0222133575818382,5.127303391801162e-08,1.3064432200581826e-07
SLC30A3,1.2391547096450524,5.1266240407462375e-08,1.3064432200581826e-07
C8orf47,-1.9059082026840577,5.137929059126328e-08,1.3089674270577543e-07
TEKT5,1.0226555750658466,5.143585523344888e-08,1.310225122886188e-07
BMP3,-2.108971867552991,5.2065354515337165e-08,1.3253866721994902e-07
KERA,-1.1289600150507955,5.220683996471288e-08,1.3285629915806914e-07
TTC22,-1.4400650194406115,5.2508396126252454e-08,1.3354901979686648e-07
ZSCAN4,-1.0935815502320327,5.294749020060998e-08,1.3462818328281933e-07
AADAC,-1.9972379029223628,5.383565690441225e-08,1.3679096351633392e-07
KLK14,-1.7508974162799447,5.50149035677532e-08,1.3965085617679702e-07
ATP5G1,1.037912329110748,5.537939294255614e-08,1.4049771285482222e-07
RBM20,-1.5045011037250724,5.6787166089419314e-08,1.4394886287783034e-07
SYCE1L,-1.1770153643546977,5.6897029800171494e-08,1.4414706102331547e-07
PRR5-ARHGAP8,1.029249630001254,5.693995319417736e-08,1.4421566272347442e-07
LHX1,1.9060019440612062,5.958206662099305e-08,1.5067690451541213e-07
DDO,-1.0403635645302893,5.978795454010328e-08,1.511555745129861e-07
ZSWIM5,-1.1353364354697106,6.13456264811938e-08,1.5502907661212976e-07
PCDHA10,-1.9135256490655976,6.200002141508538e-08,1.565524191730891e-07
MSL3L2,1.053001555248965,6.209807318679416e-08,1.5677825606369124e-07
RCOR2,1.5079818763326225,6.341851810640451e-08,1.6004537433673663e-07
LY6D,-2.1465489778000744,6.412227096182086e-08,1.6170929597090955e-07
TM7SF4,1.3615026966010286,6.696870504034383e-08,1.6853744474621577e-07
C4orf48,1.1731670136711405,6.726288942000156e-08,1.6923101259326723e-07
C1orf88,-1.50242993854258,6.81681539471257e-08,1.7136651102051223e-07
MPP6,-1.0742624106358951,6.89553405513546e-08,1.732736145853545e-07
C19orf46,1.062813809105731,6.937440390720233e-08,1.7425448797058148e-07
TRIM63,-1.0872281575316682,7.039153002892663e-08,1.76760521605263e-07
KRT6C,-1.9057452025586339,7.168504223391432e-08,1.7985979652432012e-07
TOX3,1.5716625611438602,7.217332715368611e-08,1.8103501091064463e-07
BTC,-1.3339642794431206,7.233754822074135e-08,1.813969403860249e-07
PCDHGB4,-1.3608856264894005,7.239373895124576e-08,1.8148784329011522e-07
PRR4,-1.2340441239182223,7.309941149272394e-08,1.8318124826570127e-07
CHRNB2,-1.58569209833187,7.423291316119379e-08,1.859449178854012e-07
GPR141,1.2188068982817013,7.490107350706319e-08,1.8754116107965217e-07
PHGR1,-1.3152970525523644,7.647056486769044e-08,1.9139195549107235e-07
EPHB6,-1.314016706384046,8.083236172007522e-08,2.0205870370647204e-07
LOC389332,1.1846929010410134,8.23632269814732e-08,2.0565950901834797e-07
DUOX1,-1.4320530540574437,8.33503587637421e-08,2.0801022492135965e-07
KCNG3,1.3758551486266144,8.353637774546883e-08,2.084458785607634e-07
AS3MT,-1.5746150758810984,8.37289518541779e-08,2.0889776735219304e-07
AIM2,1.545440511727079,8.418720724229704e-08,2.1001229730458175e-07
CDKN2A,1.2917047410008777,8.421050304970091e-08,2.1004162606381278e-07
C10orf79,-1.2986910824031117,8.530512128884489e-08,2.126844436133192e-07
SLITRK4,-1.0799132196162056,8.729943764970199e-08,2.1744822982177412e-07
IL12B,1.203451109996238,8.753655017051351e-08,2.1797918231926913e-07
NPTX2,1.670519892135959,8.941501038014546e-08,2.2250463895417465e-07
LOC100131726,1.2070354195409507,8.998752396762568e-08,2.2389870130982645e-07
ST8SIA6,-1.8854596764078746,9.0107023438469e-08,2.2416538849944668e-07
WDR93,-1.0189605292863408,9.151702086342168e-08,2.2748659439804242e-07
TLX1,1.8695561770977052,9.212343152484458e-08,2.2886895373914914e-07
RASGRF1,1.724381838705633,9.436721453056349e-08,2.3421958086990006e-07
SNORD116-4,-1.7695513859275063,9.55413014909089e-08,2.370367058796531e-07
TGM5,-1.7486375391947822,9.650938078974784e-08,2.393406346751744e-07
KIAA0754,-1.1174987959362843,9.757044041409587e-08,2.4180731475259186e-07
C6orf127,1.6562264141477485,9.834652386685065e-08,2.4363116139742547e-07
C15orf52,-1.0253276182114597,9.928440812941602e-08,2.458876300924843e-07
ARSH,1.2535002633889374,1.024094391092124e-07,2.531792774826828e-07
FREM2,-2.1834455161168944,1.0263271397206071e-07,2.536433616815542e-07
DUOXA1,-1.307135281575317,1.0998740951863128e-07,2.713609129123943e-07
SPINK8,2.039715627743634,1.1060246963015042e-07,2.7280443830320165e-07
GNAO1,-1.1985377022450772,1.1321640443866457e-07,2.7902494042743177e-07
RAP1GAP,1.2315683557004906,1.1443509894328565e-07,2.8183765472393836e-07
KCNK12,1.2522834692085785,1.1826662919221958e-07,2.9107726489804933e-07
LINGO2,-1.0096326978552617,1.1849769825144445e-07,2.9152772013394286e-07
PGLYRP2,-1.8953118901291868,1.1857411863916849e-07,2.916368979311963e-07
MAP2K6,-1.1768000376269905,1.215212082362729e-07,2.985223419061911e-07
SILV,-1.1190930013796558,1.2320857191697874e-07,3.025041319941683e-07
