drug,n_pathways_luma,mean_pathway_score_luma,max_pathway_score_luma,sum_pathway_score_luma,luma_pathway_overlap_jaccard,n_shared_pathways_luma,luma_pathway_enrichment_similarity
CHEMBL2075,10,0.0002142512237357,0.0002854037495665,0.0021425122373578,0.0037537537537537,10,0.0473347934314518
CHEMBL2076,12,0.0001631469981842,0.0002524526890695,0.0019577639782109,0.0045045045045045,12,0.0403527552185956
CHEMBL2079,4,0.0002075524121111,0.0003406663811548,0.0008302096484446,0.0015015015015015,4,0.0302144345374982
CHEMBL208,25,0.0002877396985787,0.0005306821637476,0.0071934924644676,0.0093843843843843,25,0.1023241525890917
CHEMBL2081,7,0.0001415206523134,0.0001662688169459,0.0009906445661941,0.0026276276276276,7,0.0256195474865368
CHEMBL2083,13,0.0002433776200452,0.0003316281682354,0.0031639090605881,0.0048798798798798,13,0.0614058128117398
CHEMBL2084,3,0.0001304003162549,0.0001489814842314,0.0003912009487649,0.0011261261261261,3,0.0156355867869385
CHEMBL2085,10,0.0002277787347265,0.0003299855517675,0.0022777873472654,0.0037537537537537,10,0.0505946230523403
CHEMBL2086,3,0.0001595302639943,0.0001839623279662,0.0004785907919831,0.0011261261261261,3,0.0189096212572771
CHEMBL2088,4,0.0002065628484983,0.0002352317057446,0.0008262513939935,0.0015015015015015,4,0.028490174278803
CHEMBL209,12,0.0001567800168686,0.0002352317057446,0.0018813602024238,0.0045045045045045,12,0.0390836229180261
CHEMBL2094,7,0.0001664658145448,0.000229508659917,0.0011652607018135,0.0026276276276276,7,0.0310287688167346
CHEMBL2099,8,0.0002238977567881,0.0004431875879124,0.0017911820543053,0.003003003003003,8,0.0467811882314441
CHEMBL210,16,0.0001937266835737,0.000328960503738,0.00309962693718,0.006006006006006,16,0.055505615333704
CHEMBL2100,9,0.0001459590401152,0.0002227788746747,0.0013136313610372,0.0033783783783783,9,0.0309438966668713
CHEMBL2102,4,0.0001298036392063,0.0001631381886638,0.0005192145568253,0.0015015015015015,4,0.0179845457740832
CHEMBL2104,10,0.0002118878802206,0.000296838308673,0.0021188788022066,0.0037537537537537,10,0.0473286896946763
