drug_chembl_id,rw_mean_LumB,rw_max_LumB
CHEMBL2326,2.8002684243078894e-05,2.8002684243078894e-05
CHEMBL2327,1.0283851795162915e-05,1.0283851795162915e-05
CHEMBL2335,5.248761744773514e-05,5.248761744773514e-05
CHEMBL235,0.000591800195944,0.000591800195944
CHEMBL236,0.0001023718285074,0.0001023718285074
CHEMBL2360,0.0001987271294879,0.0001987271294879
CHEMBL237,6.290259039264164e-05,6.290259039264164e-05
CHEMBL238,0.0001523015217594,0.0001523015217594
CHEMBL2388,9.919171763507867e-05,9.919171763507867e-05
CHEMBL239,0.000498431617493,0.000498431617493
CHEMBL2392,5.879713605624188e-05,5.879713605624188e-05
CHEMBL2399,5.2482361464224936e-05,5.2482361464224936e-05
CHEMBL240,0.0002516381990597,0.0002516381990597
CHEMBL2401,8.337201696862811e-05,8.337201696862811e-05
CHEMBL241,0.0001669504484821,0.0001669504484821
CHEMBL2412,0.0008372408582518,0.0008372408582518
CHEMBL2413,0.0002031037180028,0.0002031037180028
CHEMBL2414,6.796073698321064e-05,6.796073698321064e-05
CHEMBL2419,5.686127503486396e-05,5.686127503486396e-05
CHEMBL242,0.000295940945712,0.000295940945712
CHEMBL2421,1.41273245698175e-05,1.41273245698175e-05
CHEMBL2428,0.0001886316787652,0.0001886316787652
CHEMBL2430,8.03810981477543e-05,8.03810981477543e-05
CHEMBL2433,6.564577842360051e-05,6.564577842360051e-05
CHEMBL2434,0.0002739565906429,0.0002739565906429
CHEMBL2438,2.1507446902713965e-05,2.1507446902713965e-05
CHEMBL2439,0.0002460053477768,0.0002460053477768
CHEMBL244,0.0001684571732281,0.0001684571732281
CHEMBL2441,0.0001835725118666,0.0001835725118666
CHEMBL2442,0.000162606096032,0.000162606096032
CHEMBL2443,7.744518110473105e-05,7.744518110473105e-05
CHEMBL2447,0.0002025960900781,0.0002025960900781
CHEMBL245,7.608216358719221e-05,7.608216358719221e-05
CHEMBL2457,0.0001470654238389,0.0001470654238389
CHEMBL246,9.867627018888216e-05,9.867627018888216e-05
CHEMBL2460,0.0001066315288806,0.0001066315288806
CHEMBL2461,0.0001066315288806,0.0001066315288806
CHEMBL2465,6.250455568165581e-05,6.250455568165581e-05
CHEMBL2468,4.5152776146558784e-05,4.5152776146558784e-05
CHEMBL2469,5.095351506230721e-05,5.095351506230721e-05
CHEMBL2476,0.0003399614785141,0.0003399614785141
CHEMBL2478,7.044605870585089e-05,7.044605870585089e-05
CHEMBL248,0.0001615967763756,0.0001615967763756
CHEMBL2484,6.968468901925957e-05,6.968468901925957e-05
CHEMBL2487,0.0007600670673291,0.0007600670673291
CHEMBL249,9.472117378134527e-05,9.472117378134527e-05
CHEMBL2490,0.0001272087116713,0.0001272087116713
CHEMBL2492,0.0001671503727351,0.0001671503727351
CHEMBL2493,6.716388380791498e-05,6.716388380791498e-05
CHEMBL2494,0.0001030091794311,0.0001030091794311
CHEMBL2498,0.0010388687265188,0.0010388687265188
CHEMBL250,3.152991473088336e-05,3.152991473088336e-05
CHEMBL2502,8.303489953267074e-05,8.303489953267074e-05
CHEMBL2503,8.18981001501311e-05,8.18981001501311e-05
CHEMBL2506,0.0011281462634844,0.0011281462634844
CHEMBL2508,0.0002715587881427,0.0002715587881427
CHEMBL251,0.0001000768219699,0.0001000768219699
CHEMBL2514,1.716285477938606e-05,1.716285477938606e-05
CHEMBL2517,3.559954875423223e-05,3.559954875423223e-05
CHEMBL252,0.0001405311460931,0.0001405311460931
CHEMBL2524,8.703586953122588e-05,8.703586953122588e-05
CHEMBL2525,3.6727529535264185e-05,3.6727529535264185e-05
CHEMBL2527,0.0003385634765677,0.0003385634765677
CHEMBL253,4.876590586429168e-05,4.876590586429168e-05
CHEMBL2531,6.958409476166038e-05,6.958409476166038e-05
CHEMBL2534,0.000248567481295,0.000248567481295
CHEMBL2536,0.0002335799619568,0.0002335799619568
CHEMBL254,0.0001439347671928,0.0001439347671928
CHEMBL255,0.0001419569458099,0.0001419569458099
CHEMBL2552,6.785700890045989e-05,6.785700890045989e-05
CHEMBL2553,0.0001000925290994,0.0001000925290994
CHEMBL2559,0.0002757786162828,0.0002757786162828
CHEMBL256,2.32632754199461e-05,2.32632754199461e-05
CHEMBL2575,0.0001289104517218,0.0001289104517218
CHEMBL258,0.0007098487922163,0.0007098487922163
CHEMBL2581,0.0001409674625336,0.0001409674625336
CHEMBL2582,0.0007363162114684,0.0007363162114684
CHEMBL259,0.000181274275674,0.000181274275674
CHEMBL2595,6.351140754365226e-05,6.351140754365226e-05
CHEMBL2597,0.0001553465992089,0.0001553465992089
CHEMBL2599,0.0005585068723674,0.0005585068723674
CHEMBL2600,0.0003267927546046,0.0003267927546046
CHEMBL2608,3.3602162916520065e-05,3.3602162916520065e-05
CHEMBL2609,7.207868392006737e-05,7.207868392006737e-05
CHEMBL2626,4.302625214834397e-05,4.302625214834397e-05
CHEMBL2632,0.0003367285460529,0.0003367285460529
CHEMBL2634,0.0003470594052194,0.0003470594052194
CHEMBL264,8.243053762668132e-06,8.243053762668132e-06
CHEMBL2641,6.945721592227649e-05,6.945721592227649e-05
CHEMBL2650,0.0001696495812738,0.0001696495812738
CHEMBL2652,0.0001343502362824,0.0001343502362824
CHEMBL2655,0.0002468450504071,0.0002468450504071
CHEMBL2656,0.0001012650847443,0.0001012650847443
CHEMBL267,0.0019733026243069,0.0019733026243069
CHEMBL268,0.000130231717453,0.000130231717453
CHEMBL2692,7.903043920312686e-05,7.903043920312686e-05
CHEMBL271,4.2402480586768296e-05,4.2402480586768296e-05
CHEMBL2736,9.607851007542226e-05,9.607851007542226e-05
CHEMBL274,0.0003724916829338,0.0003724916829338
CHEMBL275,0.0001348127802579,0.0001348127802579
CHEMBL2754,0.0008817609696392,0.0008817609696392
CHEMBL278,0.000304999445264,0.000304999445264
CHEMBL279,0.0006323226620579,0.0006323226620579
CHEMBL2796,5.166613609425852e-05,5.166613609425852e-05
CHEMBL280,0.0001788839329117,0.0001788839329117
CHEMBL281,0.0001284761182265,0.0001284761182265
CHEMBL2835,0.0006248495179612,0.0006248495179612
CHEMBL2847,0.000498431617493,0.000498431617493
CHEMBL2849,4.871384470212909e-05,4.871384470212909e-05
CHEMBL2882,2.5767110014550576e-05,2.5767110014550576e-05
CHEMBL2883,0.0002101669342511,0.0002101669342511
