gene,log2FC,pvalue,FDR
TNFRSF9,1.4413773195876294,4.530444316854849e-13,1.08367513665846e-12
TMEM151A,1.1856441609633546,4.607012362525076e-13,1.101555839157283e-12
EIF4E1B,1.193729264489301,4.710868217919917e-13,1.1256489127171993e-12
FABP6,1.4897975786190767,4.85745968095894e-13,1.1597630977504668e-12
C2orf62,1.044454383609114,5.111782641383198e-13,1.2192057052030706e-12
SLC16A9,-1.224124122845013,5.267547618660997e-13,1.255370113936713e-12
HRASLS2,1.4322126960062365,5.398753035470945e-13,1.2856292713851073e-12
TNNT2,-1.2540944468509052,5.401981759303495e-13,1.2862298752727472e-12
ZBTB7C,-1.165414116780732,5.987678503878814e-13,1.4223373588164695e-12
CNTN2,-1.3225352118166858,6.211532614143746e-13,1.4737816498339234e-12
COL12A1,1.0020018929221184,6.280192656708248e-13,1.489878104132155e-12
THPO,1.2524954387940754,6.644724933042602e-13,1.5736914904524394e-12
SLC27A2,1.7028640171532539,6.665540330590965e-13,1.5780053405871679e-12
FOXN4,1.1713457246816248,6.99725488889728e-13,1.6548139631362503e-12
CCDC144A,-1.311893450576108,7.235690115337774e-13,1.7103138185884104e-12
UGT2B28,-2.690472918651997,7.294180545438644e-13,1.7239154566167183e-12
NCRNA00160,1.1024076539894305,7.535656925818363e-13,1.7795999354005146e-12
BTC,-1.0312998310664478,8.10332153795827e-13,1.9109309749378726e-12
C8orf80,-1.1815268994195622,8.332389316724417e-13,1.9636779224797325e-12
TRIM17,-1.2793839989604079,8.628221165041803e-13,2.032606572631758e-12
C1orf186,-1.251923568396431,8.756419743318491e-13,2.0614732098761834e-12
HAS1,-2.0489650134280524,8.856593758413746e-13,2.0847869673400417e-12
TRIM9,-1.2188845664038803,9.035640020967278e-13,2.1255589984707594e-12
CPZ,-1.2291159490600352,9.202663557766768e-13,2.1640109125698034e-12
CR2,-1.8175804860088363,9.591700988456055e-13,2.2531647063216615e-12
ZNF296,1.0484216884692028,9.743535957871657e-13,2.2882413242309093e-12
HOOK1,1.0388497444338576,9.908422053588467e-13,2.3254642424119504e-12
HBG1,-1.3063995755003037,9.929947115744789e-13,2.330215641973732e-12
FAM196A,1.948478151260506,9.969380090376714e-13,2.3388661655513254e-12
WIT1,1.5637961968292473,1.001688251459506e-12,2.3497076341903853e-12
PTCHD2,1.3762202287100411,1.078631549108196e-12,2.5256406082346917e-12
DUSP26,-1.0906447067486795,1.0883146855476814e-12,2.547330875790722e-12
NOVA1,-1.6015353764186084,1.1233713188961707e-12,2.6273581032849797e-12
AGPAT2,-1.1431291172138973,1.1644320777682877e-12,2.7223422953527022e-12
RASGEF1A,-1.219546010569176,1.1897670466606662e-12,2.7805019322588403e-12
