protein1,protein2,neighborhood,fusion,cooccurence,coexpression,experimental,database,textmining,combined_score,gene1,gene2
9606.ENSP00000272317,9606.ENSP00000404179,0,0,0,809,781,0,421,973,RPS27A,DOCK4
9606.ENSP00000272317,9606.ENSP00000445633,0,0,0,62,820,0,125,839,RPS27A,HIST1H2BG
9606.ENSP00000272317,9606.ENSP00000295731,0,0,0,0,0,900,0,900,RPS27A,IHH
9606.ENSP00000272317,9606.ENSP00000295025,0,0,0,0,56,900,123,909,RPS27A,REL
9606.ENSP00000272317,9606.ENSP00000369497,0,0,0,0,0,900,0,900,RPS27A,BRCA2
9606.ENSP00000272317,9606.ENSP00000468956,0,0,0,0,800,900,0,979,RPS27A,JOSD2
9606.ENSP00000272317,9606.ENSP00000215574,0,0,0,72,732,600,365,928,RPS27A,CDC34
9606.ENSP00000272317,9606.ENSP00000467466,0,0,0,934,988,900,696,999,RPS27A,RPS15
9606.ENSP00000272317,9606.ENSP00000418915,0,0,0,62,451,900,161,951,RPS27A,CDKN2A
9606.ENSP00000272317,9606.ENSP00000385958,0,0,0,967,988,900,486,999,RPS27A,RPS14
9606.ENSP00000272317,9606.ENSP00000256078,0,0,0,0,162,900,108,918,RPS27A,KRAS
9606.ENSP00000272317,9606.ENSP00000443824,0,0,0,0,92,900,77,908,RPS27A,ZNRF3
9606.ENSP00000272317,9606.ENSP00000328720,0,0,0,0,57,900,0,901,RPS27A,FOXK1
9606.ENSP00000272317,9606.ENSP00000321203,0,0,0,0,270,900,74,926,RPS27A,TNIP2
9606.ENSP00000272317,9606.ENSP00000270625,0,0,0,950,995,900,286,999,RPS27A,RPS11
9606.ENSP00000272317,9606.ENSP00000478121,0,0,0,251,152,600,114,744,RPS27A,TCEB1
9606.ENSP00000272317,9606.ENSP00000382628,0,0,0,0,0,900,0,900,RPS27A,RBBP8
9606.ENSP00000272317,9606.ENSP00000389103,0,0,0,960,995,0,460,999,RPS27A,RPL23A
