Drug Name,Drug ID,Cell Line Name,AUC,drug_name_clean
Vinblastine,1004,AU565,.84796873097873227,VINBLASTINE
Vinblastine,1004,CAL-85-1,.89046542547380581,VINBLASTINE
Vinblastine,1004,UACC-812,.89670017234984023,VINBLASTINE
Vinblastine,1004,CAL-51,.59146850617452851,VINBLASTINE
Vinblastine,1004,MFM-223,.78840489505705968,VINBLASTINE
Vinblastine,1004,CAL-148,.52414394026056144,VINBLASTINE
Vinblastine,1004,MDA-MB-415,.73949723690716906,VINBLASTINE
Vinblastine,1004,MDA-MB-157,.68437584536546869,VINBLASTINE
Vinblastine,1004,BT-474,.84045349030007765,VINBLASTINE
Vinblastine,1004,CAMA-1,.89663932188028661,VINBLASTINE
Vinblastine,1004,BT-483,.95949228608025849,VINBLASTINE
Vinblastine,1004,MDA-MB-436,.89348913191949808,VINBLASTINE
Vinblastine,1004,EFM-192A,.98372342893823816,VINBLASTINE
Vinblastine,1004,HCC1428,.9036688301116016,VINBLASTINE
Vinblastine,1004,HDQ-P1,.84684741471238056,VINBLASTINE
Vinblastine,1004,JIMT-1,.63080235295011544,VINBLASTINE
Vinblastine,1004,HCC1500,.7792508296978462,VINBLASTINE
Cisplatin,1005,HCC1954,.99072739008094279,CISPLATIN
Cisplatin,1005,HCC1143,.98409167214461413,CISPLATIN
Cisplatin,1005,HCC1187,.97940177229703118,CISPLATIN
Cisplatin,1005,HCC1395,.92665762788076123,CISPLATIN
Cisplatin,1005,HCC1599,.90344280756517481,CISPLATIN
Cisplatin,1005,HCC1937,.97112517771226115,CISPLATIN
Cisplatin,1005,HCC2157,.9848974346343492,CISPLATIN
Cisplatin,1005,HCC2218,.99024567066235147,CISPLATIN
Cisplatin,1005,HCC38,.9692371467065235,CISPLATIN
Cisplatin,1005,T47D,.99102627987224168,CISPLATIN
Cisplatin,1005,MCF7,.96436496591231247,CISPLATIN
Cisplatin,1005,BT-549,.97838420415503546,CISPLATIN
Cisplatin,1005,Hs-578-T,.96591397775550047,CISPLATIN
Cisplatin,1005,MDA-MB-231,.96574033623578359,CISPLATIN
Cisplatin,1005,BT-20,.97691404823037098,CISPLATIN
Cisplatin,1005,COLO-824,.97718166458377631,CISPLATIN
Cisplatin,1005,CAL-120,.96554155126438423,CISPLATIN
Cisplatin,1005,DU-4475,.90714891005393272,CISPLATIN
Cisplatin,1005,EFM-19,.98428475028132634,CISPLATIN
Cisplatin,1005,EVSA-T,.98848379157397681,CISPLATIN
Cisplatin,1005,HCC1419,.98314110323245396,CISPLATIN
Cisplatin,1005,HCC1569,.987622502453535,CISPLATIN
Cisplatin,1005,HCC70,.93139460792195228,CISPLATIN
Cisplatin,1005,MDA-MB-175-VII,.95110525324369921,CISPLATIN
Cisplatin,1005,MDA-MB-361,.98178826508337091,CISPLATIN
Cisplatin,1005,MDA-MB-453,.97490847694040428,CISPLATIN
Cisplatin,1005,MDA-MB-468,.83763595777248578,CISPLATIN
Cisplatin,1005,MRK-nu-1,.97197439173643074,CISPLATIN
Cisplatin,1005,OCUB-M,.96232195141236698,CISPLATIN
Cisplatin,1005,UACC-893,.95826384557971367,CISPLATIN
Cisplatin,1005,ZR-75-30,.97892178100798721,CISPLATIN
Cisplatin,1005,AU565,.9467506000906073,CISPLATIN
Cisplatin,1005,CAL-85-1,.97725023951987533,CISPLATIN
Cisplatin,1005,UACC-812,.93887473649007713,CISPLATIN
Cisplatin,1005,CAL-51,.87743529194983572,CISPLATIN
Cisplatin,1005,MFM-223,.98142108982616283,CISPLATIN
Cisplatin,1005,CAL-148,.84976170575664423,CISPLATIN
Cisplatin,1005,MDA-MB-415,.98924551757913726,CISPLATIN
Cisplatin,1005,MDA-MB-157,.98850650084129899,CISPLATIN
Cisplatin,1005,BT-474,.98855424377471957,CISPLATIN
Cisplatin,1005,CAMA-1,.97522967287250473,CISPLATIN
Cisplatin,1005,BT-483,.96873441875282185,CISPLATIN
Cisplatin,1005,MDA-MB-436,.95300175036068846,CISPLATIN
Cisplatin,1005,EFM-192A,.98512701038546702,CISPLATIN
Cisplatin,1005,HCC1428,.9869300698185014,CISPLATIN
Cisplatin,1005,HCC202,.99221483109792352,CISPLATIN
Cisplatin,1005,HDQ-P1,.98490722766477645,CISPLATIN
Cisplatin,1005,JIMT-1,.97869827431097045,CISPLATIN
Cisplatin,1005,HCC1500,.98585666881394496,CISPLATIN
Cisplatin,1005,MDA-MB-330,.98602881067008918,CISPLATIN
Cytarabine,1006,HCC1954,.99100535923196731,CYTARABINE
Cytarabine,1006,HCC1143,.97188788671936377,CYTARABINE
Cytarabine,1006,HCC1187,.98351439074468194,CYTARABINE
